#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      209.1    83.1    93.8   138.7   152.8   205.9   222.9   231.9   238.5   247.7   258.6   275.5   320.9  1093.1  3115.2   4977.2     5000  1745250938589  1745250943852
read      219.0    67.8    86.8   140.3   156.4   217.1   235.8   247.2   254.4   264.8   275.6   296.3   342.1   919.9  2199.1  10007.6    10000  1745250945355  1745250950600
read      222.3    70.0    86.8   137.3   152.7   221.7   243.2   254.5   263.7   273.0   286.7   306.7   346.6   503.3  2938.8  14973.0    15000  1745250952104  1745250957302
read      230.7    73.7    86.8   134.5   150.1   230.1   255.4   269.0   278.4   290.1   304.7   327.1   375.8   469.1  2007.6  19935.2    20000  1745250958805  1745250964008
read      234.5   129.5    80.4   130.4   145.0   232.5   261.7   276.1   287.4   299.2   315.5   339.7   391.3   507.7  7913.8  24989.8    25000  1745250965512  1745250970711
read      234.1    81.9    80.4   124.8   139.0   232.8   265.9   283.0   294.6   309.0   325.8   351.5   403.0   533.0  2258.3  30005.8    30000  1745250972215  1745250977414
read      237.2    81.2    80.4   122.7   136.5   234.9   271.9   291.0   304.2   318.5   337.9   366.1   422.7   551.0  1649.9  34891.6    35000  1745250978919  1745250984120
read      239.4    92.5    80.4   121.5   134.8   234.8   276.1   296.6   311.1   327.1   346.5   376.7   435.9   548.6  1935.1  40045.0    40000  1745250985623  1745250990824
read      240.8   100.6    74.4   119.8   132.8   234.2   279.5   302.2   317.2   334.9   356.4   388.0   452.2   582.6  1956.6  45063.0    45000  1745250992328  1745250997527
read      236.2    91.2    74.4   114.8   127.2   228.0   275.1   299.7   316.1   334.7   356.9   389.1   452.2   559.2  1497.6  49991.2    50000  1745250999030  1745251004233
read      239.5   111.1    74.4   116.2   128.6   227.9   277.8   303.4   320.3   339.7   363.3   397.0   471.4   672.7  3669.2  54931.1    55000  1745251005737  1745251010937
read      236.5   107.2    74.4   114.6   126.5   222.5   274.5   301.8   319.9   340.8   365.5   399.9   470.7   608.4  2091.3  59992.8    60000  1745251012441  1745251017641
read      236.2   113.0    74.4   113.3   124.8   220.8   274.3   302.9   321.8   343.3   369.1   403.6   477.9   596.0  2233.8  64840.2    65000  1745251019145  1745251024347
read      244.3   133.3    74.4   112.6   124.5   228.5   285.7   315.0   335.0   357.3   384.0   423.8   508.7   657.5  5990.5  69966.4    70000  1745251025850  1745251031050
