#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      204.1    81.3    93.8   137.9   150.2   199.6   215.4   224.8   231.4   239.5   251.2   269.9   317.6   996.0  3367.7   4951.8     5000  1745247673230  1745247678487
read      213.3    65.3    80.4   139.3   154.3   211.8   229.5   238.9   246.7   254.5   267.1   285.2   321.2   904.2  2772.2   9990.2    10000  1745247679990  1745247685230
read      213.3    65.8    80.4   134.0   147.9   212.9   232.4   243.3   250.9   260.2   271.7   290.8   332.1   464.3  2001.9  14926.6    15000  1745247686733  1745247691932
read      226.0    60.5    86.8   131.3   144.7   228.3   251.9   264.5   272.7   283.7   296.1   317.5   362.3   450.7  1145.5  19900.2    20000  1745247693437  1745247698639
read      229.8   110.5    80.4   127.6   140.7   231.5   258.9   272.2   282.1   293.0   307.7   329.3   377.1   548.6  4280.6  24867.6    25000  1745247700142  1745247705345
read      229.8    78.3    74.4   125.0   137.5   230.9   262.3   277.6   288.7   300.8   316.3   340.0   389.6   472.1  2168.1  29944.4    30000  1745247706849  1745247712049
read      230.6    80.5    74.4   121.0   133.1   231.5   266.8   283.6   294.8   308.5   324.0   347.5   398.5   487.5  2578.6  35002.6    35000  1745247713553  1745247718754
read      237.3    89.3    74.4   119.7   132.2   238.3   277.7   296.3   309.2   322.6   340.8   367.4   420.3   502.7  2041.0  39845.9    40000  1745247720258  1745247725460
read      236.6    96.1    80.4   118.2   130.1   234.6   278.6   298.7   312.4   327.6   345.5   373.3   430.8   522.4  1983.3  44968.8    45000  1745247726964  1745247732167
read      234.0   103.8    74.4   117.5   129.1   226.4   274.4   296.4   311.3   327.7   347.1   376.2   433.2   578.0  2624.2  50015.0    50000  1745247733671  1745247738871
read      234.9   100.0    74.4   115.3   127.3   225.2   276.4   300.3   316.1   334.0   355.2   386.2   446.7   556.3  2542.7  54915.0    55000  1745247740375  1745247745575
read      233.4   105.8    74.4   114.4   126.1   220.7   273.4   299.3   316.1   335.2   358.1   390.8   455.4   574.3  2641.3  59902.8    60000  1745247747079  1745247752280
read      233.9   105.1    80.4   115.0   126.7   218.3   273.0   300.3   318.1   338.4   363.0   397.6   465.2   563.0  1798.0  65034.5    65000  1745247753784  1745247758987
read      236.4   103.6    74.4   113.7   126.0   220.7   275.6   303.5   321.6   342.4   367.3   401.7   469.5   594.3  2684.0  70048.6    70000  1745247760491  1745247765693
read      233.2   108.0    74.4   114.0   125.9   214.4   268.1   297.4   316.9   339.1   365.9   402.6   476.6   637.2  2940.9  74936.0    75000  1745247767197  1745247772404
read      231.0   102.3    74.4   112.6   124.4   212.3   265.8   295.2   315.2   337.4   364.1   400.8   468.9   584.4  1935.8  80053.4    80000  1745247773909  1745247779110
read      229.9   109.5    74.4   113.3   125.3   210.7   261.0   290.2   310.7   333.8   362.0   400.5   471.9   590.3  4086.0  84847.2    85000  1745247780615  1745247785819
read      240.3   111.0    68.9   117.4   130.4   222.0   273.2   302.3   322.8   346.4   375.3   417.6   496.4   637.0  2533.2  89952.0    90000  1745247787323  1745247792524
read      252.3   119.6    68.9   118.8   133.3   231.3   285.1   315.3   336.8   362.0   393.9   441.3   587.1  1007.0  1945.4  94973.6    95000  1745247794028  1745247799231
read      241.2   112.3    74.4   118.9   132.6   222.5   272.3   301.5   322.0   345.8   375.3   418.6   498.2   652.9  2691.4  99880.4   100000  1745247800735  1745247805937
read      239.0   112.2    74.4   119.9   133.6   221.1   268.7   296.4   316.3   339.5   368.5   410.2   488.5   613.8  4225.8 104871.0   105000  1745247807441  1745247812642
read      252.3   105.1    74.4   125.4   140.9   235.8   285.8   313.8   334.1   357.6   386.7   428.4   508.3   636.9  1660.6 109916.0   110000  1745247814145  1745247819349
read      251.5   108.9    74.4   125.6   141.1   234.7   284.4   311.9   331.8   355.1   384.3   427.0   508.1   642.6  2897.2 115173.9   115000  1745247820853  1745247826053
read      250.4   110.7    74.4   127.7   143.0   234.2   282.0   308.8   327.7   349.6   377.6   420.1   501.5   643.9  4180.8 119813.0   120000  1745247827557  1745247832758
read      352.5   156.6    74.4   166.0   192.1   327.0   389.0   428.1   459.6   500.1   554.1   631.6   754.0   918.4  3959.7 124846.0   125000  1745247834261  1745247839463
read      388.6   160.7    74.4   187.5   218.0   359.1   432.2   480.4   516.6   557.8   606.3   671.1   786.1   983.4  3158.9 129304.9   130000  1745247840967  1745247846169
read      476.0   177.9    93.8   273.9   301.4   411.5   539.3   620.6   659.5   695.1   733.0   782.8   864.9  1007.0  2895.7 130375.8   135000  1745247847673  1745247852875
read      496.3   202.2    93.8   284.3   314.5   429.5   552.6   644.0   686.5   724.9   765.3   812.2   910.2  1136.3  5104.5 129293.2   140000  1745247854378  1745247859580
read      499.6   191.4    93.8   286.3   317.5   430.0   559.7   651.3   696.1   732.8   772.4   819.6   917.6  1145.6  4494.0 128504.6   145000  1745247861084  1745247866286
read      485.1   191.4    86.8   277.8   306.4   420.9   549.5   630.6   670.5   708.1   744.5   793.5   872.6  1042.0  3864.0 132883.9   150000  1745247867790  1745247872994
read      458.0   171.0    93.8   246.9   277.2   418.2   525.3   579.3   613.3   648.6   688.5   742.0   851.2  1077.4  3906.0 139370.8   155000  1745247874498  1745247879702
read      515.3   204.0    93.8   310.1   338.8   437.1   531.0   670.1   726.8   769.8   807.7   858.0   943.1  1165.7  5796.5 125554.1   160000  1745247881206  1745247886409
read      489.1   199.7    93.8   283.6   311.7   419.2   545.6   639.6   681.2   718.5   755.6   801.6   897.3  1144.1  4935.7 132107.7   165000  1745247887913  1745247893114
read      489.3   196.1    93.8   290.3   316.7   413.7   554.0   651.9   689.9   721.3   753.1   796.0   869.7  1040.0  5249.6 132124.1   170000  1745247894618  1745247899820
