Found clients: client-agent-a-bmx7 client-agent-b-046c client-measure-24f7
Connect to  via ssh
Connect to client-measure-24f7
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      231.4   131.4    80.4   135.8   148.6   212.3   245.0   264.7   278.8   295.8   318.8   357.2   518.2  1901.4  4081.8  29937.6    30000  1745417441530  1745417451686
read      236.8   218.7    93.8   135.4   146.4   207.3   239.0   258.5   272.7   290.6   314.3   357.1   845.6  3301.9  7434.3  29913.5    30005  1745417453198  1745417463322
read      227.7   203.1    86.8   133.5   143.9   201.2   230.9   249.1   262.7   278.6   300.8   338.7   621.0  3444.6  6125.4  29953.3    30010  1745417464835  1745417474936
read      216.7   145.3    86.8   130.3   140.9   198.5   228.4   246.1   259.3   274.6   295.5   329.0   440.9  2176.4  6169.0  29987.3    30015  1745417476448  1745417486549
read      228.7   191.5    93.8   133.0   144.1   205.7   237.7   257.4   271.7   289.1   311.2   345.4   500.3  3357.8  6433.4  29969.9    30020  1745417488061  1745417498161
read      214.1   138.4    93.8   130.9   140.9   197.2   226.1   242.6   254.7   270.2   290.3   321.0   428.1  2094.6  4738.0  30013.1    30025  1745417499673  1745417509771
read      219.6   162.9    86.8   130.6   141.3   200.3   230.7   248.9   262.6   278.5   299.3   333.0   441.6  2367.6  6070.4  30040.9    30030  1745417511284  1745417521387
read      220.3   131.5    93.8   133.8   144.5   203.7   234.2   252.5   266.2   282.0   302.4   335.5   427.5  1901.3  4839.7  30093.4    30035  1745417522903  1745417533013
read      231.5   156.3    80.4   133.6   145.4   210.9   244.5   265.4   280.7   298.8   322.1   360.2   472.3  2601.3  5628.0  29999.9    30040  1745417534526  1745417544629
read      224.2   160.3    93.8   132.7   143.5   204.0   234.8   253.5   267.6   284.2   306.1   341.3   465.3  2593.7  4993.6  30061.9    30045  1745417546142  1745417556246
read      217.2   131.3    93.8   131.9   142.2   200.1   230.2   247.9   261.0   276.1   296.3   329.6   427.2  1958.3  4951.1  30088.7    30050  1745417557761  1745417567868
read      222.7   164.4    86.8   131.8   142.7   203.0   234.4   253.1   267.2   283.7   305.0   338.6   444.4  2389.2  6313.8  30081.8    30055  1745417569377  1745417579476
read      223.7   171.9    86.8   132.9   143.8   202.6   232.9   251.2   265.0   280.9   302.1   337.2   466.5  3166.6  5975.5  30063.7    30060  1745417580988  1745417591093
read      226.1   173.1    86.8   132.1   143.9   204.9   235.1   253.4   267.2   283.3   304.7   340.7   505.5  2757.0  6084.6  30026.2    30065  1745417592606  1745417602705
read      220.6    82.8    86.8   133.5   145.7   208.6   240.1   259.1   272.6   288.9   309.2   340.1   409.7   665.1  2841.4  30096.4    30070  1745417604217  1745417614320
read      215.8    81.0    86.8   133.4   145.3   204.2   233.5   251.2   264.4   279.4   298.7   329.7   397.8   589.0  3057.5  30023.3    30075  1745417615832  1745417625937
read      213.8    93.0    80.4   132.9   144.4   201.8   231.1   248.4   261.1   275.2   294.7   324.4   392.5   700.8  3148.9  30173.5    30080  1745417627450  1745417637556
read      222.2   108.5    86.8   136.0   148.5   209.8   239.7   258.0   271.4   287.7   308.3   340.1   416.0   860.1  3103.3  30075.9    30085  1745417639068  1745417649172
read      219.5    81.4    86.8   135.2   146.8   207.5   237.5   256.2   269.8   285.8   306.1   338.0   407.2   632.6  2791.4  30082.7    30090  1745417650684  1745417660787
