#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      162.3    71.5    80.4   116.3   124.3   156.1   169.5   177.0   182.7   189.1   199.4   216.9   273.9   870.9  2122.0   4955.0     5000  1745486199766  1745486205027
read      173.6    57.5    80.4   115.2   126.8   169.8   185.5   194.5   200.4   208.6   218.0   234.8   288.6   861.2  2036.1  10029.8    10000  1745486206531  1745486211767
read      180.7    55.3    74.4   111.3   123.7   178.0   196.3   206.3   213.8   222.4   233.1   251.8   309.0   841.8  1713.8  15004.6    15000  1745486213271  1745486218470
read      192.4    93.1    68.9   107.8   119.7   189.4   210.7   221.7   229.8   238.9   252.3   274.4   347.9  1144.3  3361.1  20009.6    20000  1745486219975  1745486225174
read      191.8    61.6    68.9   104.4   115.4   192.4   216.1   228.1   235.8   246.9   260.1   281.6   331.4   478.7  1860.9  25074.6    25000  1745486226679  1745486231877
read      194.6    78.0    68.9   102.9   113.3   192.6   220.6   233.8   244.0   254.9   270.8   294.1   355.7   784.7  2994.2  29940.6    30000  1745486233382  1745486238581
read      198.5    77.6    63.8   102.4   112.5   197.0   228.1   243.2   253.4   266.6   282.3   305.9   363.9   578.4  1151.8  35002.8    35000  1745486240085  1745486245285
read      202.3    83.6    63.8   101.1   111.0   199.8   234.4   251.5   263.9   277.6   294.6   319.7   377.7   540.4  1582.0  40157.2    40000  1745486246789  1745486251988
read      203.9    83.9    68.9   100.4   110.2   199.5   237.3   256.0   269.2   283.9   301.1   326.8   387.9   549.3  2539.1  45095.4    45000  1745486253492  1745486258692
read      206.6   101.7    68.9   100.1   109.8   197.5   238.6   259.5   273.6   289.4   308.3   337.0   412.6  1138.7  2868.0  49876.8    50000  1745486260196  1745486265394
read      205.9    98.0    68.9    99.3   108.9   197.0   239.9   262.4   277.7   294.2   314.0   342.1   403.3   542.7  1759.3  54881.5    55000  1745486266898  1745486272100
read      206.6    89.1    63.8    98.1   107.7   195.2   240.5   264.9   281.4   299.2   319.9   351.2   421.2   629.6  1719.8  60048.0    60000  1745486273604  1745486278801
read      215.0   118.0    63.8    99.1   109.1   198.1   246.2   272.6   290.1   309.3   332.6   369.2   488.7  1317.7  3587.3  65005.8    65000  1745486280305  1745486285505
read      216.3   101.1    68.9    97.5   107.6   204.8   255.6   282.4   299.6   317.8   340.4   371.8   443.6   623.9  2753.5  69936.4    70000  1745486287009  1745486292213
read      213.9   109.2    63.8    97.7   107.3   196.4   247.3   275.8   294.6   315.0   339.1   372.9   467.6  1084.6  2761.3  74950.6    75000  1745486293717  1745486298915
read      214.7    99.0    63.8    97.1   106.7   198.4   251.4   281.2   300.6   321.0   345.2   380.8   458.0   626.7  1960.0  80176.8    80000  1745486300419  1745486305617
read      214.0   104.5    63.8    97.1   106.5   194.8   248.5   279.3   300.0   321.6   346.5   384.6   464.5   710.4  2758.9  85189.5    85000  1745486307120  1745486312319
read      224.2   110.8    63.8    98.9   109.2   203.9   263.2   295.0   315.5   338.3   366.1   405.3   498.7   704.3  2814.2  90224.5    90000  1745486313823  1745486319025
read      220.7   107.0    63.8    99.8   109.9   197.0   254.5   288.7   311.3   335.4   363.8   403.2   500.3   814.8  1819.0  95240.4    95000  1745486320528  1745486325729
read      219.5   104.9    63.8    98.8   108.9   195.0   253.6   288.4   311.4   336.1   365.5   406.2   496.8   638.2  1846.8  99679.5   100000  1745486327232  1745486332428
read      227.6   112.4    68.9   101.7   111.8   198.2   260.4   299.9   325.4   352.4   384.6   431.4   542.3   740.4  1580.3 104999.0   105000  1745486333932  1745486339132
read      245.0   135.9    63.8   103.8   114.9   209.0   278.7   322.2   350.7   382.3   421.5   482.3   628.1   933.4  2753.5 109943.6   110000  1745486340635  1745486345835
read      246.3   142.3    63.8   105.0   116.4   206.7   275.9   322.8   354.0   387.9   428.7   493.6   643.5   917.3  2924.3 115088.6   115000  1745486347339  1745486352543
read      266.6   196.9    68.9   108.7   120.8   213.3   285.2   335.4   369.9   408.2   458.7   548.3   891.1  2243.7  4601.9 119900.6   120000  1745486354046  1745486359246
read      243.2   137.0    68.9   106.2   117.3   197.9   265.2   316.9   351.9   389.6   433.4   500.4   648.0   905.4  2300.6 124830.6   125000  1745486360749  1745486365951
read      266.9   170.9    63.8   111.3   124.0   214.9   288.0   340.8   377.4   418.2   469.5   563.2   801.3  1465.7  3982.6 129900.8   130000  1745486367455  1745486372655
read      451.3   499.5    74.4   142.9   163.2   237.3   278.2   328.6   591.3  1127.2  1329.0  1469.5  2097.1  3416.7  7719.6 133595.7   135000  1745486374158  1745486379358
read      450.7   512.4    74.4   143.3   162.2   235.9   276.8   325.6   548.2  1106.3  1327.7  1481.2  2248.4  3559.7  7795.1 136131.6   140000  1745486380861  1745486386063
read      488.0   583.3    68.9   149.5   172.5   251.1   292.6   336.6   544.8  1233.1  1383.6  1531.6  2950.6  4271.2  7990.5 132418.3   145000  1745486387567  1745486392768
read      502.2   590.8    74.4   146.1   169.1   260.9   302.9   349.1   643.3  1280.5  1408.5  1557.9  2829.9  4507.4  7992.5 129694.3   150000  1745486394272  1745486399471
read      501.9   629.9    74.4   145.1   168.8   259.1   298.3   338.3   463.0  1236.5  1402.6  1588.6  3307.2  5141.1  8022.6 129865.2   155000  1745486400974  1745486406179
