#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      157.6    76.4    74.4   113.7   120.4   148.2   159.9   167.7   172.9   181.2   192.3   215.2   317.4   911.3  2542.8   4968.4     5000  1745497695799  1745497701051
read      163.5    67.2    74.4   113.4   122.5   157.4   170.1   177.6   183.4   190.4   200.4   219.0   295.1   869.2  2467.2  10075.4    10000  1745497702554  1745497707793
read      170.4    65.6    74.4   110.9   121.1   165.9   180.9   188.9   195.5   202.1   213.6   231.7   305.6   877.0  2159.2  14994.8    15000  1745497709297  1745497714497
read      175.1    59.2    74.4   109.3   119.6   174.7   190.6   199.0   205.2   212.9   222.4   237.9   288.3   578.6  1998.8  20014.8    20000  1745497716000  1745497721198
read      182.7    56.7    74.4   108.0   118.7   183.3   201.0   210.9   217.2   225.9   235.3   254.1   316.6   585.5   927.3  24949.4    25000  1745497722701  1745497727899
read      186.4    60.7    68.9   106.4   116.4   189.0   209.1   218.5   226.0   233.5   245.4   264.5   318.0   553.9  1529.6  30208.6    30000  1745497729403  1745497734601
read      190.2    65.4    68.9   104.8   115.0   192.7   214.9   225.7   232.8   242.0   253.4   273.1   339.9   717.5  1803.3  35182.6    35000  1745497736105  1745497741304
read      190.9    66.1    63.8   103.4   113.3   194.4   219.0   229.9   237.0   246.8   257.9   275.3   334.3   607.4  1616.5  40025.8    40000  1745497742807  1745497748006
read      193.4    71.5    68.9   103.0   112.9   196.3   223.5   234.6   243.3   252.3   265.3   285.1   342.6   593.1  2210.0  45070.7    45000  1745497749508  1745497754705
read      194.6    68.9    63.8   102.2   112.1   196.1   226.7   239.6   248.8   259.2   271.8   293.2   357.8   542.2   955.5  50079.4    50000  1745497756209  1745497761408
read      197.0    88.6    68.9   101.9   111.5   196.5   229.6   243.5   252.4   263.3   275.1   296.7   369.7   792.7  2576.0  55103.3    55000  1745497762912  1745497768112
read      199.5    93.6    68.9    99.6   109.6   195.1   232.6   248.2   258.6   270.1   285.6   310.8   404.5  1036.9  2942.5  60081.8    60000  1745497769615  1745497774813
read      196.1    86.9    63.8    98.9   109.0   191.0   231.4   247.9   258.6   270.3   285.5   308.8   368.4   535.0  2666.3  65062.8    65000  1745497776317  1745497781512
read      196.9    80.2    68.9   100.6   110.1   188.2   230.9   248.4   259.7   271.7   287.9   313.2   393.5   753.9  1772.9  69898.4    70000  1745497783016  1745497788213
read      197.0    83.9    63.8    98.5   108.0   187.9   233.6   252.3   264.1   276.2   292.3   316.5   385.1   578.5  2392.6  74935.4    75000  1745497789717  1745497794916
read      198.6   104.9    63.8    99.0   108.7   185.4   232.0   251.7   263.9   276.5   293.0   318.0   401.0  1241.6  3890.2  80052.2    80000  1745497796420  1745497801619
read      194.0    82.3    63.8    98.2   107.4   180.3   227.9   249.2   262.4   275.8   292.8   318.0   390.6   629.8  1828.5  85159.2    85000  1745497803122  1745497808320
read      196.6    90.7    68.9    98.8   108.0   180.1   229.3   252.4   266.3   281.0   297.7   325.5   406.4   784.4  2637.6  90209.2    90000  1745497809823  1745497815023
read      196.9    87.1    68.9    98.0   107.4   182.0   231.5   255.0   268.5   283.1   299.6   324.7   395.6   621.2  2247.6  95105.4    95000  1745497816527  1745497821725
read      203.1   123.5    63.8    98.5   108.1   181.0   231.1   256.6   271.8   288.4   308.8   342.1   484.2  1576.7  3935.8  99905.3   100000  1745497823228  1745497828428
read      193.9    90.9    63.8    98.5   107.4   173.5   222.1   249.0   265.8   283.3   303.8   335.4   416.4   610.4  1530.4 105220.6   105000  1745497829932  1745497835131
read      195.0    96.7    63.8    99.3   108.7   174.9   221.2   247.9   265.1   282.7   303.0   333.6   409.3   770.2  2971.5 109728.0   110000  1745497836634  1745497841834
read      201.3   114.6    68.9   100.1   109.7   177.2   224.5   252.3   270.2   289.3   311.9   346.9   481.7  1327.7  3365.7 115025.9   115000  1745497843337  1745497848537
read      196.4    87.9    63.8   100.7   110.1   176.6   221.6   248.6   266.3   284.6   305.5   336.5   421.3   783.7  2135.5 119836.6   120000  1745497850040  1745497855239
read      199.9   100.2    63.8   102.0   111.5   176.9   221.5   249.4   268.5   288.8   312.6   348.1   458.0  1018.2  2475.5 124814.0   125000  1745497856742  1745497861948
read      202.3   109.8    63.8   103.1   112.9   180.0   223.8   250.9   269.7   290.0   313.5   348.0   455.3  1186.3  3577.4 130151.6   130000  1745497863451  1745497868650
read      197.0    83.2    63.8   103.3   112.9   176.7   217.9   244.5   263.6   283.9   307.6   341.9   431.6   690.8  1567.5 135097.4   135000  1745497870154  1745497875353
read      202.6    99.2    68.9   104.6   114.4   180.0   222.8   250.1   269.6   291.1   316.5   356.6   464.4   923.5  2481.4 139773.3   140000  1745497876857  1745497882065
read      211.8   151.3    68.9   107.0   117.4   185.0   227.1   253.3   272.2   293.8   320.1   365.7   548.5  1875.2  5637.4 144773.5   145000  1745497883569  1745497888768
read      204.6    91.5    68.9   108.2   118.8   185.0   224.2   248.8   267.2   288.3   313.8   351.9   453.2   834.8  2325.6 149971.1   150000  1745497890272  1745497895471
read      205.9    97.6    63.8   109.3   119.9   186.4   225.2   249.2   267.3   288.6   314.8   355.1   459.3   823.9  2307.8 154811.2   155000  1745497896975  1745497902175
read      200.9   106.4    68.9   108.2   118.4   180.4   217.0   240.1   258.3   279.6   306.8   346.8   456.5   782.0  4352.0 159844.8   160000  1745497903678  1745497908889
read      218.2   118.6    68.9   113.3   125.4   195.4   233.9   258.4   276.4   298.6   328.6   379.7   550.6  1360.5  3672.1 165418.8   165000  1745497910392  1745497915591
read      220.4   125.1    68.9   115.3   127.9   197.1   234.3   258.2   275.9   298.4   328.9   382.2   566.0  1517.9  4028.2 170113.2   170000  1745497917094  1745497922294
read      224.2   130.3    68.9   118.7   131.9   202.3   237.8   260.4   276.9   297.8   327.2   378.3   560.9  1799.9  4077.9 175107.5   175000  1745497923797  1745497928998
read      245.8   103.8    68.9   130.4   146.5   227.9   266.8   290.1   308.2   330.8   362.6   416.4   561.4   995.5  1989.1 180240.5   180000  1745497930501  1745497935701
read      231.0   121.4    68.9   121.8   135.6   206.8   243.4   267.1   286.0   311.0   347.2   419.2   607.7  1107.0  3364.4 183538.9   185000  1745497937204  1745497942401
read      242.8   134.3    68.9   129.7   145.0   222.5   259.1   281.2   297.7   319.2   349.5   403.3   597.1  1528.3  5239.2 189896.6   190000  1745497943904  1745497949105
read      249.0    94.9    68.9   139.7   156.6   235.4   270.1   290.5   306.1   325.1   352.3   398.1   515.4   953.8  2420.4 195079.0   195000  1745497950608  1745497955807
read      260.4   111.7    68.9   147.1   164.8   244.7   279.2   299.7   315.9   336.7   366.0   418.1   566.9  1174.0  2905.3 198573.7   200000  1745497957311  1745497962508
