Timestamp start: 1747316445463
Timestamp end: 1747318245786

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      266.5    94.0    63.8   107.4   134.3   272.8   290.6   300.1   308.2   316.3   328.4   346.4   417.3  1018.4  3031.9   8137.2     8195
read      467.1   164.3    68.9   270.7   299.4   467.5   516.2   543.2   566.1   593.8   631.7   689.5   836.2  1263.9  5157.7 158370.2   158594
read      343.7   112.8    68.9   242.6   258.0   327.3   359.0   377.8   394.4   414.9   444.6   498.3   634.3  1099.3  3540.6 149913.0   149766
read      280.3   152.6    68.9   112.5   209.7   279.8   298.5   309.8   316.8   326.2   339.7   363.0   480.1  1855.9  5921.6  10296.0    10382
read      366.1   136.9    68.9   245.8   261.1   335.2   374.7   403.7   431.2   470.8   519.2   576.3   737.1  1644.7  4060.8 170134.9   170548
read      319.0   115.8    63.8   226.6   238.0   295.2   327.6   348.6   367.0   390.3   424.2   487.4   640.7  1317.9  3316.2 150525.9   150565
read      317.2   137.9    68.9   222.5   231.7   289.5   323.5   346.9   367.5   393.2   430.6   495.2   659.5  1758.0  3760.6 137090.9   137144
read      314.2   133.4    74.4   223.6   233.6   289.9   321.4   343.5   362.0   385.2   419.7   481.7   630.9  1355.6  3722.8 143625.4   143496
read      318.9   118.0    68.9   224.8   235.9   293.2   326.8   349.3   368.7   394.0   431.2   499.8   651.5  1294.1  3622.0 144813.6   144743
read      312.9   128.5    68.9   219.2   226.4   285.7   323.9   350.4   371.1   396.1   428.7   477.9   645.0  1514.3  3555.5 116702.8   116745
read      308.9   107.2    68.9   221.2   229.4   286.2   319.5   342.7   361.8   385.5   417.9   467.4   593.2  1082.6  2645.5 129539.5   129314
read      314.6   125.0    74.4   225.8   237.1   293.1   324.4   345.2   363.1   384.9   415.5   466.7   593.5  1132.0  4460.7 144798.1   144723
read      307.7   145.0    63.8   219.2   226.2   282.5   317.8   342.1   361.5   384.9   415.5   463.0   597.3  1521.0  5466.4 117584.4   117379
read      310.0   118.1    63.8   219.2   226.2   283.5   320.3   345.6   366.1   390.5   422.8   470.9   628.6  1639.8  3325.8 119869.4   119931
read      316.9   128.9    68.9   222.4   231.6   290.3   325.1   348.6   368.5   393.5   428.2   484.5   653.4  1854.0  3394.0 132088.8   132052
read      324.2   145.7    63.8   226.8   238.3   297.6   332.4   355.0   372.9   397.6   432.3   494.6   677.6  1736.7  3966.5 143300.2   143350
read      317.2   116.9    68.9   226.5   237.9   295.1   327.8   348.6   366.7   389.1   420.7   471.7   607.8  1194.0  3605.7 143308.0   143518
read      343.5   103.0    74.4   243.2   258.0   327.3   360.1   379.5   395.4   415.5   444.1   495.9   625.2  1162.1  2924.3 173059.4   172981
read      305.0    95.5    63.8   217.2   224.7   283.4   324.1   350.0   368.7   389.8   415.6   454.9   544.5   978.1  2934.1  94041.6    94027
read      343.5   107.2    63.8   242.3   256.8   323.9   357.4   377.9   395.6   418.3   451.2   507.9   653.7  1074.1  3524.4 170081.6   170019
read      347.8   115.7    74.4   246.2   261.6   331.9   363.4   382.8   398.2   419.0   448.1   499.1   628.8  1179.4  3346.7 178842.9   179090
read      331.9   140.2    59.1   212.9   223.8   309.0   354.5   378.5   397.2   423.5   462.1   540.0   713.1  1659.2  3313.9  47170.4    47130
read      329.9   157.3    68.9   204.2   224.0   315.5   347.3   366.4   380.2   398.2   428.0   498.0   883.7  1654.4  5316.2  19429.9    19439
read      370.3   203.7    74.4   227.3   239.5   319.6   376.6   418.2   451.7   494.1   555.6   635.4   913.4  2936.4  4256.9 129162.2   128963
read      333.7   198.4    68.9   208.5   225.1   318.2   352.1   370.7   386.0   403.1   434.3   502.2   772.9  2183.5  9964.5  23798.5    23787
read      373.1   218.5    68.9   217.8   226.5   322.6   393.4   438.0   468.4   505.3   552.4   634.1  1189.3  2647.4  6245.6  61754.2    61848
read      350.0   182.7    68.9   221.7   230.8   308.2   364.1   399.5   427.2   459.9   503.7   580.3   830.9  2828.2  3805.8 102030.0   101968
read      318.2   127.1    63.8   220.3   227.8   288.4   329.6   358.4   380.7   407.1   442.3   498.4   664.1  1549.1  3566.1 108791.1   108767
read      312.6   125.9    63.8   219.2   226.0   285.9   328.0   355.9   376.5   400.2   430.4   471.5   603.4  1526.7  3207.2  97327.6    97139
read      339.8   130.1    68.9   237.6   249.6   317.1   352.2   373.7   392.4   415.2   448.1   504.0   666.6  1620.6  4015.6 158560.2   158594
read      330.2   128.2    74.4   228.1   239.7   302.2   339.1   364.3   384.6   411.0   450.3   517.7   699.7  1444.7  3923.0 141087.1   141240
read      331.3   145.0    68.9   213.2   224.2   315.9   364.2   388.9   405.3   429.4   457.4   499.5   625.6  1412.8  5041.7  41425.5    41405
read      334.4   147.6    68.9   212.5   222.5   304.3   364.9   397.2   421.3   447.9   477.0   522.4   687.6  1800.8  4173.5  57963.0    57997
read      363.9   179.6    68.9   226.6   238.7   316.5   374.2   419.7   458.2   504.4   550.0   618.9   818.6  2145.2  4860.0 133747.1   133577
read      331.0   192.8    68.9   212.6   222.6   303.0   356.5   384.0   402.9   429.2   459.0   502.3   683.3  2541.4  7774.4  53966.0    53832
read      381.0   149.1    68.9   231.6   244.8   337.5   408.5   464.2   498.9   533.0   573.3   639.8   797.8  1276.9  2983.6 139933.5   139832
read      349.8   157.0    74.4   242.9   257.8   326.4   360.2   381.3   398.6   422.3   456.9   521.9   711.4  1969.1  4020.3 170347.6   170515
read      322.8   135.8    74.4   222.6   231.7   291.5   329.5   356.4   378.3   406.8   449.3   518.6   687.8  1783.9  4097.0 128437.9   128494
read      316.4   122.4    68.9   205.2   226.1   314.2   343.5   359.9   370.7   385.2   401.6   436.3   538.8  1622.7  4295.3  20798.4    20789
read      327.3   162.7    68.9   211.8   221.7   296.8   355.9   388.1   410.4   437.3   466.6   507.9   632.0  1720.1  6496.5  63493.1    63647
read      363.9   233.0    59.1   215.2   224.8   314.9   380.9   422.0   452.9   489.5   539.5   622.0  1116.1  2621.8  9367.2  64872.5    64802
read      354.8   176.2    63.8   213.3   223.3   313.8   376.5   416.2   447.8   485.8   537.8   610.7   810.8  2153.5  4127.2  55794.2    55719
read      419.7   211.8    68.9   255.6   274.4   372.8   433.4   477.6   513.3   549.2   591.3   685.7  1004.9  2832.2  4691.5 174217.8   174179
read      323.4   128.5    68.9   222.4   232.3   300.4   338.4   362.1   379.8   401.4   432.2   482.5   644.0  1949.9  3371.6 106320.0   106356
read      359.2   124.0    68.9   249.1   264.6   338.1   371.8   394.4   411.9   434.8   469.6   533.1   702.2  1649.0  3567.0 178726.4   178750
read      309.5   120.0    68.9   219.6   226.9   285.5   322.9   348.3   368.5   391.8   421.0   463.5   574.0  1552.4  3131.2 105666.6   105831
read      316.6   138.6    68.9   219.8   227.2   287.0   326.5   353.8   374.5   399.8   432.5   483.5   675.6  1954.6  3475.4 110580.5   110667
read      280.2   155.4    68.9   103.0   137.3   281.9   301.9   313.0   320.0   331.1   343.0   368.9   560.2  1571.3  6200.2   8863.1     8803
read      342.7   151.0    63.8   210.4   220.8   311.8   367.6   399.0   424.8   456.7   504.0   581.8   744.7  1566.1  3421.2  45714.4    45662
read      329.5   148.5    63.8   207.9   220.2   312.0   353.0   374.4   391.3   411.3   446.3   523.2   712.6  1576.0  3849.5  30851.9    30867
read      345.3   166.8    68.9   210.7   221.2   312.3   368.8   400.9   428.3   461.8   511.0   587.8   736.1  2193.7  4184.5  45617.9    45656
read      394.7   247.6    68.9   221.9   231.8   332.4   414.7   467.4   506.7   547.2   599.7   702.5  1178.3  3206.7  5901.7 101028.9   100938
read      317.9   126.4    63.8   223.4   233.1   291.4   326.2   349.7   369.5   395.0   430.3   490.1   645.9  1794.9  3600.7 132319.2   132360
read      332.1   205.1    68.9   213.1   222.4   291.8   343.9   374.2   396.8   424.9   459.1   508.5  1087.2  2845.7  5495.1  67635.0    67591
read      337.7   213.4    63.8   209.1   221.0   314.6   359.0   383.1   400.2   425.7   461.6   540.4   740.1  2390.1 10432.7  33904.4    33910
read      355.4   228.4    68.9   218.7   226.3   302.9   361.2   399.0   429.1   462.9   505.3   580.8  1225.1  3043.5  5403.8  85763.1    85729
read      294.4   149.1    63.8   113.4   217.2   290.2   313.5   326.0   335.6   345.2   362.3   391.0   646.1  1590.2  7080.0  12836.5    12884
read      342.7   175.2    68.9   210.0   220.3   309.9   366.0   397.5   423.9   456.9   504.3   579.7   731.0  2110.7  5640.4  45504.2    45621
read      337.1   186.5    68.9   208.9   220.0   311.0   358.7   384.4   402.4   430.4   469.2   552.9   745.3  2323.5  7623.0  36941.9    36938
read      352.7   167.1    68.9   213.0   222.7   311.7   374.6   414.4   446.6   484.7   537.2   610.3   812.9  1669.6  3659.3  56917.1    56902
read      340.2   190.7    63.8   219.7   227.3   295.6   345.9   379.6   404.0   436.2   481.3   567.4   879.0  2877.6  4219.6 102275.1   102243
read      302.9   289.9    63.8   118.6   219.4   292.8   316.8   330.2   339.5   350.4   367.6   397.8   684.2  3065.2 14313.8  14182.9    14085
read      365.2   236.3    68.9   219.6   227.8   308.3   371.4   414.6   447.7   485.4   535.0   626.7  1179.4  3093.5  7125.4  93988.0    94103
read      352.2   178.5    63.8   213.3   223.0   310.9   373.8   411.9   442.4   477.2   525.7   601.6   855.9  2266.7  4327.9  58198.4    58175
read      410.5   223.0    74.4   245.7   263.2   363.4   427.2   469.1   504.0   540.9   582.0   670.6  1002.1  2928.2  6128.5 151356.0   151312
read      327.9   202.2    68.9   214.8   223.3   286.1   334.8   366.0   389.1   417.2   453.6   505.7  1044.9  2861.2  5897.3  83123.5    83333
read      372.4   223.2    68.9   243.7   259.5   335.6   372.7   398.1   419.1   445.8   484.8   554.7   972.7  3171.6  5931.0 165118.0   165153
read      315.2   138.2    68.9   221.1   229.1   287.0   322.8   347.9   369.2   394.9   429.5   483.2   640.6  1976.3  3988.1 123922.2   123975
read      321.5   133.9    63.8   208.5   222.5   312.7   348.7   368.2   382.3   398.4   422.8   463.0   608.6  1813.2  4411.0  28506.8    28449
read      301.1   143.6    68.9   124.1   219.3   296.5   321.7   335.8   344.7   358.1   373.1   402.9   635.4  1929.7  4087.4  14939.5    14903
read      321.4   121.6    68.9   207.4   219.4   310.6   350.4   371.3   386.6   402.6   430.7   483.4   626.6  1381.9  3494.9  31137.1    31189
read      331.5   134.4    68.9   209.0   219.7   310.5   360.8   387.5   405.3   431.8   465.3   532.9   680.7  1452.0  2525.7  40667.6    40636
read      349.3   241.3    68.9   216.0   224.5   296.5   350.9   384.8   409.9   442.8   486.5   572.2  1262.7  3128.8  7158.7  80730.8    80574
read      369.9   157.0    74.4   244.7   260.7   341.6   385.3   412.3   432.5   457.9   491.8   551.5   851.7  2264.7  3745.0 168828.8   168820
read      336.1   140.2    68.9   236.5   247.7   312.8   346.1   368.7   386.6   408.0   439.8   497.1   667.4  1962.8  4154.0 162707.6   162621
read      311.2   127.2    68.9   219.0   225.8   285.1   325.4   352.2   372.2   395.6   424.9   467.6   607.1  1574.2  3362.1 101748.2   101621
