Timestamp start: 1747232587461
Timestamp end: 1747234387749

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      228.6   164.0    54.7   102.8   112.5   192.9   251.4   285.6   309.6   336.4   369.3   425.7   669.8  2085.1  4395.9 106262.0   106356
read      304.8   233.8    63.8   122.8   137.1   232.6   317.8   370.9   411.4   464.1   544.4   695.7  1144.9  2297.2  4860.3 179026.4   178750
read      217.8   124.8    59.1   101.4   110.6   187.3   246.7   279.5   302.0   326.9   357.0   401.4   533.9  1287.6  3319.6 105822.8   105831
read      227.7   163.5    59.1   102.1   111.6   189.4   251.0   285.7   309.8   336.4   369.3   425.3   708.4  2006.0  3976.1 110567.4   110667
read      202.4   157.3    63.8   100.6   115.1   182.8   206.5   221.4   232.1   246.0   265.2   305.4   848.2  1854.5  7065.9   8740.2     8803
read      265.3   201.3    59.1   100.5   112.3   238.2   299.0   329.8   350.7   374.2   405.0   462.6  1019.7  2643.7  3805.9  45524.4    45662
read      245.0   147.0    59.1   100.9   113.1   228.6   276.8   302.1   319.5   339.9   366.2   409.5   821.6  1559.4  2706.4  30802.0    30867
read      264.7   194.3    54.7   101.0   112.7   238.9   299.8   331.3   352.6   376.2   406.4   460.6   981.9  2437.0  4017.8  45565.8    45656
read      284.7   277.2    59.1   103.8   114.6   218.4   292.0   333.4   364.8   403.9   467.4   634.2  1441.1  3192.5  6562.1 100828.2   100938
read      231.5   188.6    59.1   104.7   114.7   187.9   243.8   279.4   305.6   334.4   369.2   430.1   854.0  2489.1  4944.7 132382.8   132360
read      231.9   172.4    59.1    99.5   108.8   205.7   264.1   292.0   311.5   333.9   362.9   410.8   663.2  2325.1  3865.5  67440.8    67591
read      216.3    87.9    59.1   101.6   112.3   215.8   254.6   272.1   284.7   298.2   316.0   342.1   400.7   893.5  1978.5  34057.8    33910
read      225.1   159.6    50.7    99.4   109.2   197.0   260.1   291.1   311.7   334.7   362.5   402.4   529.8  1674.8  5304.9  85714.4    85729
read      207.1   106.8    59.1   106.2   120.5   198.3   228.0   243.3   253.8   267.0   283.7   312.2   402.6  1351.4  2759.0  12821.2    12884
read      240.1   134.5    59.1   100.8   111.3   229.5   283.5   310.2   327.8   346.3   370.0   403.4   508.6  1460.5  3244.6  45424.8    45621
read      241.9   147.0    59.1   101.5   112.4   231.3   281.4   306.0   321.9   340.7   364.5   401.3   559.6  1717.5  3683.8  37086.0    36938
read      248.2   159.3    54.7    99.8   110.5   229.6   291.4   321.6   342.0   364.5   391.5   430.4   601.7  1943.3  3218.0  56959.0    56902
read      231.1   143.8    54.7   102.2   112.4   199.8   260.6   294.8   318.4   345.3   380.3   435.1   597.7  1519.4  4215.9 102055.0   102243
read      213.0   151.6    63.8   107.0   120.2   202.7   232.3   248.1   259.4   272.4   291.0   320.1   409.2  2253.4  5523.6  14077.0    14085
read      228.4   143.7    54.7   100.6   110.5   198.8   262.1   294.9   317.3   342.1   372.5   419.4   549.6  1790.5  4134.3  94278.8    94103
read      238.0   155.7    59.1    99.8   109.7   220.2   276.9   305.7   325.3   347.3   374.3   416.2   571.9  2106.0  4025.6  58236.4    58175
read      293.1   268.4    59.1   111.5   123.4   214.6   286.8   334.3   370.5   423.4   522.9   741.7  1366.0  2926.7  5191.0 151171.8   151312
read      218.2   127.8    50.7    99.7   108.9   191.3   254.2   283.9   303.4   324.6   351.0   392.1   510.6  1430.4  3572.4  83226.0    83333
read      238.8   135.5    50.7   114.1   127.6   208.6   259.5   292.5   317.1   345.3   381.5   439.0   620.1  1369.4  3380.6 165073.6   165153
read      223.9   167.2    59.1   102.8   112.7   186.8   243.4   277.9   302.1   328.7   362.0   415.9   642.9  2158.3  4610.7 123871.6   123975
read      235.1   177.2    59.1   101.3   112.5   220.7   261.5   282.0   296.6   314.6   338.2   377.5   719.8  2484.4  5413.8  28284.2    28449
read      209.5   116.0    59.1    98.9   112.5   196.1   227.4   243.4   254.6   269.1   289.4   327.3   704.2  1280.1  3117.2  14960.4    14903
read      239.3   167.7    54.7    98.5   110.1   221.8   267.9   291.0   307.6   326.9   352.9   399.7   849.4  2298.5  3732.6  31223.6    31189
read      250.1   168.6    59.1    99.0   110.5   229.4   283.9   311.7   330.9   352.9   382.3   431.1   880.9  2106.9  3404.9  40622.8    40636
read      275.8   237.9    59.1   103.0   114.4   229.4   298.4   336.8   363.8   394.9   435.3   520.5  1309.0  2890.6  3878.1  80414.8    80574
read      303.5   271.6    54.7   119.8   134.0   234.0   306.5   351.8   386.9   433.0   510.4   685.8  1319.1  2976.8  7148.8 168699.8   168820
read      262.8   200.6    59.1   115.0   128.6   216.6   275.3   313.4   340.7   372.7   417.9   511.0   973.0  2488.3  5107.1 162692.2   162621
read      220.1   167.9    54.7   100.5   109.7   185.3   244.9   277.5   299.1   322.5   351.3   396.3   589.7  2394.3  4649.8 101460.4   101621
read      244.0   210.4    59.1   101.4   111.3   216.7   271.6   298.1   317.0   339.5   369.1   422.2   873.1  2934.6  6557.7  58638.6    58592
read      387.1   436.5    59.1   117.0   130.0   253.0   366.2   445.2   515.2   611.5   754.4  1033.2  2445.7  4187.5  7878.8 152761.8   153042
read      219.1   139.8    54.7   102.0   111.5   186.3   244.0   277.1   299.7   324.5   355.3   401.3   561.5  1920.4  3627.3 112225.0   112238
read      248.6   186.2    59.1   113.1   126.0   208.6   263.0   298.4   324.4   355.0   394.2   466.7   820.0  2385.7  5003.4 159939.2   160265
read      243.9   247.8    54.7    98.7   108.3   206.3   257.6   281.9   298.7   318.9   346.3   403.4  1358.1  3083.0  7051.7  57097.6    57109
read      259.5   246.6    54.7   101.9   112.5   212.9   279.0   316.6   342.9   373.1   410.4   470.2  1228.7  3098.5  7415.1  88246.8    88551
read      193.3   163.1    54.7    98.3   112.2   176.8   198.5   212.7   223.2   235.1   253.3   287.9   552.8  2360.4  7434.3   8365.2     8385
read      240.6   163.5    54.7    99.5   111.2   222.8   270.8   295.0   312.3   332.5   359.1   402.7   824.4  2378.2  3638.5  34015.4    34088
read      354.9   383.6    59.1   107.8   119.3   245.4   344.4   409.0   467.6   549.2   681.7   950.6  1900.2  4248.7  7755.2 113537.2   113600
read      237.8   212.7    59.1   104.9   115.1   190.6   247.0   282.6   308.0   336.9   373.5   448.8   979.8  2866.1  5885.0 131886.0   131842
