Timestamp start: 1747313980450
Timestamp end: 1747315780775

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      285.9   242.2    68.9   130.6   173.2   286.4   307.2   318.6   328.6   340.2   356.3   383.4   458.4  1121.9 17751.1   8112.2     8195
read      490.0   144.5    68.9   298.1   339.0   487.8   525.0   547.3   569.6   594.4   627.9   682.0   832.8  1460.7  4089.2 158444.9   158594
read      348.1   141.8    74.4   240.9   255.7   325.0   360.5   383.2   401.0   426.4   462.0   523.9   691.5  1456.5  4698.1 149710.9   149766
read      292.5   108.5    63.8   143.4   217.8   290.8   313.4   325.9   335.9   345.9   364.7   397.1   529.1  1321.3  4025.7  10380.5    10382
read      399.4   157.7    68.9   250.7   266.4   365.3   438.5   479.2   500.6   526.9   562.2   627.4   787.1  1564.4  4023.0 170483.4   170548
read      326.0   142.8    63.8   230.5   242.0   302.0   334.8   355.7   371.8   394.3   426.1   484.5   664.1  1961.3  5056.8 150829.1   150565
read      313.2   129.1    68.9   222.5   231.4   287.2   320.5   344.0   363.7   388.1   421.8   475.6   636.2  1698.4  3822.0 137374.0   137144
read      309.3   111.1    68.9   223.5   232.9   286.5   317.6   339.1   356.4   378.1   409.6   464.6   614.9  1284.3  3295.3 143593.6   143496
read      311.5   114.8    68.9   223.6   233.2   287.5   319.2   341.4   359.7   382.8   416.5   470.3   615.5  1461.7  3390.0 144885.4   144743
read      304.8   115.4    63.8   219.7   226.6   280.6   316.0   340.4   359.6   382.2   410.1   454.0   586.3  1305.9  3198.3 116715.9   116745
read      310.9   123.6    68.9   221.1   228.9   283.6   318.5   343.1   363.3   388.4   422.4   478.1   641.8  1425.3  4280.2 129227.5   129314
read      306.7   112.2    68.9   223.8   233.5   286.0   316.1   336.6   352.5   373.1   402.3   452.1   576.4  1209.9  3234.9 144692.0   144723
read      299.9   102.2    68.9   220.0   227.0   278.8   312.5   335.3   353.2   374.7   402.0   440.3   528.6   888.1  3979.2 117195.5   117379
read      303.2   114.5    63.8   220.8   228.2   281.0   314.5   337.4   355.6   377.6   405.4   447.8   546.0  1101.6  5188.4 119938.6   119931
read      304.0   100.5    68.9   220.8   228.3   280.8   313.2   335.3   352.7   374.6   404.3   454.4   606.4  1239.7  2758.0 131990.9   132052
read      308.5   116.2    63.8   222.9   232.0   285.9   317.0   338.3   355.2   376.1   406.1   456.8   599.3  1619.6  3430.0 143115.2   143350
read      304.0   130.7    68.9   222.1   230.5   282.8   313.3   333.7   349.3   370.5   399.5   445.9   559.4  1401.9  4176.1 143489.6   143518
read      341.2   140.4    74.4   239.7   252.7   317.4   351.1   372.8   391.5   414.2   447.1   505.0   683.0  1923.5  4456.1 173117.9   172981
read      306.6   133.8    68.9   218.9   225.6   280.7   320.1   346.9   366.3   387.7   412.7   451.0   573.5  1630.0  5072.1  94061.5    94027
read      329.3   115.4    68.9   237.1   248.1   310.3   341.9   362.8   378.3   399.3   429.2   479.2   605.8  1338.8  3448.8 170067.2   170019
read      336.1   128.7    74.4   240.4   254.1   317.4   349.0   369.6   386.2   405.1   434.6   485.1   605.4  1508.1  4859.9 179167.4   179090
read      328.9   111.7    68.9   218.8   226.9   308.8   362.7   390.3   409.4   431.8   458.9   498.8   588.5  1058.4  2435.8  47170.8    47130
read      325.3   105.8    68.9   219.0   232.5   323.1   356.3   371.9   384.1   397.3   415.3   442.2   528.8  1011.3  4472.2  19467.6    19439
read      383.1   166.3    74.4   226.8   238.9   326.8   408.1   478.5   534.4   568.2   598.3   667.9   807.4  1205.8  3785.1 128813.1   128963
read      349.1   257.7    74.4   216.1   228.3   319.2   357.4   377.1   393.2   412.3   440.8   530.2  1157.0  3009.9 10357.9  23721.6    23787
read      358.5   197.1    68.9   218.3   226.0   312.4   381.1   420.7   448.8   481.9   528.0   602.2   906.2  2882.4  4572.9  61876.1    61848
read      327.3   188.1    63.8   220.7   228.5   292.8   340.4   371.2   394.1   420.9   455.8   515.6   702.8  2073.9  3735.2 102026.0   101968
read      310.1   122.2    68.9   220.4   227.5   283.4   320.8   347.7   368.8   393.0   422.4   465.6   603.0  1575.4  3197.0 108739.5   108767
read      308.1   114.5    68.9   219.4   226.0   281.1   321.2   349.7   370.5   393.6   421.4   462.0   587.9  1446.6  3397.4  97220.0    97139
read      327.4   126.9    68.9   232.2   243.1   303.8   338.1   360.9   378.4   401.1   432.7   488.4   643.1  1566.9  3277.3 158633.2   158594
read      320.1   114.2    68.9   226.0   237.0   294.0   328.9   352.7   371.7   397.1   432.1   497.0   651.2  1306.0  3365.0 140972.6   141240
read      338.6   158.1    68.9   217.6   226.0   313.8   362.9   388.6   406.6   431.0   465.0   541.8   730.6  1875.1  4196.4  41275.9    41405
read      356.3   177.4    74.4   217.7   225.7   313.0   380.5   419.2   446.9   480.4   527.8   603.9   897.0  2153.2  3455.7  57980.4    57997
read      364.6   195.2    68.9   227.3   239.1   316.2   373.7   414.6   447.7   491.4   544.2   608.7   846.8  2937.4  4917.0 133402.9   133577
read      333.8   160.8    68.9   217.9   225.5   306.4   366.4   397.0   418.4   442.0   470.1   518.6   641.9  1320.5  8133.5  53785.1    53832
read      348.1   153.0    74.4   227.6   239.2   309.8   360.4   397.4   430.0   468.8   508.3   572.6   736.2  1425.5  4749.7 139978.6   139832
read      342.3   146.1    68.9   237.8   249.6   315.8   352.4   376.0   395.9   420.8   456.5   517.2   685.6  2072.0  4394.6 170423.1   170515
read      319.3   171.8    68.9   222.2   230.8   287.5   322.9   348.1   368.9   394.4   428.6   486.6   684.9  2837.7  5483.1 128554.1   128494
read      324.4   105.4    68.9   216.1   229.6   318.7   352.8   369.9   382.7   397.1   417.2   451.2   565.3  1138.4  3503.9  20778.1    20789
read      330.4   134.5    74.4   214.5   223.2   295.8   360.7   396.2   419.9   445.2   472.7   516.6   645.2  1663.1  3475.1  63559.8    63647
read      329.8   132.5    68.9   214.7   223.3   295.8   360.1   395.4   419.2   444.8   473.0   518.8   638.9  1517.0  3235.1  64842.4    64802
read      329.8   119.1    63.8   214.9   223.4   301.3   365.3   397.9   419.7   442.8   468.9   509.1   628.2  1316.6  2508.0  55795.1    55719
read      366.8   146.6    74.4   244.1   259.0   334.6   379.6   412.5   440.9   477.9   519.9   578.6   736.2  1611.3  3898.9 173991.0   174179
read      304.8   110.4    68.9   220.0   227.1   282.1   317.5   342.5   362.1   384.4   410.7   449.8   548.9  1174.2  3766.0 106484.9   106356
read      345.3   138.9    68.9   240.8   254.9   320.4   356.3   378.9   397.6   422.1   457.4   518.2   688.5  1875.1  3759.1 178744.4   178750
read      311.5   126.5    74.4   220.0   227.1   284.1   321.1   347.9   368.3   391.3   419.4   463.4   659.5  1816.5  3558.4 105948.8   105831
read      311.1   130.7    68.9   220.2   227.4   284.0   321.1   347.7   368.4   391.8   420.9   465.9   637.5  1620.8  3729.9 110573.9   110667
read      293.9   179.8    68.9   132.2   178.5   289.3   310.2   320.3   330.7   341.9   359.3   392.1   649.0  2057.2  7293.0   8812.1     8803
read      347.2   154.2    63.8   213.0   222.9   311.4   371.3   403.4   429.2   463.3   520.1   598.6   760.8  1855.8  3149.1  45664.1    45662
read      339.0   157.2    63.8   211.5   223.1   314.4   359.9   383.6   400.0   423.9   463.8   559.6   815.7  2015.9  4026.2  30885.4    30867
read      347.9   167.2    68.9   212.9   222.9   311.8   371.2   403.2   428.7   462.8   519.4   600.5   782.5  1902.5  4972.7  45658.4    45656
read      389.2   257.0    68.9   222.8   233.1   328.3   404.1   449.6   481.2   520.0   573.5   670.0  1463.8  3037.6  7261.2 101011.9   100938
read      315.0   122.9    68.9   223.1   232.1   288.7   322.8   346.7   367.0   391.6   424.5   478.9   638.3  1882.2  3429.8 132467.5   132360
read      326.9   175.8    68.9   214.1   222.6   288.5   342.5   375.0   397.3   422.9   454.5   503.5   818.6  2582.2  3881.5  67607.4    67591
read      338.7   161.0    68.9   211.7   222.7   313.0   360.7   385.9   402.7   427.2   466.3   556.6   815.3  2067.2  3766.5  33905.4    33910
read      351.1   226.0    74.4   219.3   226.6   298.5   356.6   393.1   420.0   451.8   493.8   575.1  1174.5  2970.5  5910.7  85741.6    85729
read      308.5   180.9    68.9   161.8   221.1   298.2   322.3   336.8   345.9   360.5   377.0   416.1   764.3  2299.3  7307.2  12852.4    12884
read      348.2   176.7    74.4   212.7   222.7   311.6   370.8   402.8   428.0   461.9   517.8   598.2   798.7  1942.1  4383.8  45519.6    45621
read      341.7   155.4    63.8   211.9   222.6   313.2   364.0   391.5   411.4   437.5   488.7   577.2   773.2  1970.4  3950.4  37030.4    36938
read      359.9   184.3    63.8   215.7   224.8   313.5   380.0   420.0   451.7   493.4   551.4   631.1   925.9  2086.3  3507.8  57043.1    56902
read      330.3   190.9    68.9   220.0   227.1   288.1   333.3   365.2   388.8   416.1   453.6   530.2   861.2  2861.8  4656.4 102187.8   102243
read      307.8   164.6    68.9   169.0   221.0   296.8   321.1   335.9   345.1   359.7   376.6   418.6   857.9  1840.3  7272.4  14067.2    14085
read      356.7   243.1    74.4   220.0   228.0   302.6   361.2   398.8   427.1   460.3   503.8   587.1  1287.9  2924.4  5390.4  93973.9    94103
read      350.4   173.4    68.9   214.1   223.3   307.1   372.3   410.1   438.1   472.7   524.4   603.0   845.8  2131.9  4146.4  58195.5    58175
read      394.3   216.4    68.9   238.6   252.6   349.6   413.0   452.2   483.2   517.3   552.2   635.9   990.1  2738.0  4481.6 151160.4   151312
read      326.3   190.5    68.9   217.5   224.6   286.9   336.1   369.2   392.5   419.3   453.3   505.5   805.8  2771.6  6153.1  83403.1    83333
read      360.7   170.7    68.9   239.5   253.1   329.5   375.6   402.7   423.4   448.0   482.8   543.9   821.0  2578.1  5572.3 164988.6   165153
read      313.7   121.0    68.9   221.7   229.8   287.0   322.5   348.0   369.1   394.0   425.6   474.9   637.8  1533.6  3661.5 123951.1   123975
read      330.4   155.2    68.9   211.0   223.3   311.7   350.7   372.3   388.1   404.5   433.5   504.9   771.8  2137.4  4165.0  28384.1    28449
read      307.3   136.9    63.8   177.2   220.8   297.9   324.4   339.1   349.1   364.2   383.8   426.1   779.3  1554.2  3441.8  14933.1    14903
read      336.1   161.3    68.9   211.0   222.5   312.4   356.5   380.5   397.5   420.9   460.2   555.2   787.8  2025.5  4885.5  31216.1    31189
read      339.0   140.0    68.9   214.2   224.1   314.5   366.7   393.3   412.1   434.8   471.1   553.1   737.9  1584.9  3819.5  40634.2    40636
