#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      202.2    75.0    86.8   138.9   151.9   198.2   214.0   222.7   229.1   235.6   247.1   264.0   311.2   985.8  3175.2   4952.6     5000  1745249044614  1745249049870
read      208.5   113.1    86.8   137.5   151.4   204.6   222.1   231.4   238.0   247.3   257.9   274.3   316.4   992.1  5127.2  10019.0    10000  1745249051374  1745249056613
read      217.3    57.8    86.8   133.2   148.1   217.6   237.4   249.1   256.9   267.2   279.2   297.2   339.7   506.4  1783.4  14936.8    15000  1745249058117  1745249063319
read      221.0    68.3    86.8   130.1   143.9   222.2   245.5   257.8   266.7   275.8   290.0   310.2   348.7   471.4  2001.0  19899.8    20000  1745249064822  1745249070025
read      227.4    89.5    80.4   127.2   140.5   229.6   256.9   270.4   279.9   291.0   305.0   324.2   367.8   431.5  2747.6  24916.3    25000  1745249071529  1745249076729
read      228.7    89.3    80.4   124.1   136.9   230.2   261.1   275.7   286.6   297.5   313.2   335.8   379.4   468.6  2759.9  29852.0    30000  1745249078232  1745249083433
read      229.7    97.7    74.4   122.9   135.2   228.8   263.9   280.8   292.3   305.7   320.8   345.2   396.0   472.5  3721.8  35036.0    35000  1745249084937  1745249090137
read      228.8   104.3    74.4   119.9   131.6   226.8   265.5   283.8   295.7   310.1   326.7   351.6   401.8   497.3  5135.4  39844.2    40000  1745249091640  1745249096842
read      226.2    87.7    80.4   117.3   128.9   220.6   263.8   284.3   297.5   313.2   332.0   359.3   409.7   495.7  1275.0  45074.6    45000  1745249098345  1745249103548
read      229.2    94.8    74.4   116.8   128.2   221.6   268.7   290.5   304.9   320.0   339.9   368.2   425.9   527.8  1873.3  49983.4    50000  1745249105051  1745249110254
read      229.7    97.7    74.4   116.4   127.9   218.1   268.4   292.4   308.2   325.0   345.3   375.0   433.7   546.3  2337.1  54793.8    55000  1745249111757  1745249116956
read      231.5   100.2    74.4   115.0   126.9   218.4   270.5   295.9   312.8   331.4   353.6   386.5   446.7   543.5  2634.1  60011.2    60000  1745249118459  1745249123661
