#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      201.4   124.5    86.8   137.1   150.4   196.2   211.8   220.1   227.1   234.1   245.1   261.2   300.8   999.1  7255.7   5005.2     5000  1745248371710  1745248376979
read      210.3    53.0    86.8   139.2   153.4   208.5   226.6   235.6   243.8   252.2   264.1   281.0   321.2   906.4  1080.4   9965.4    10000  1745248378483  1745248383726
read      217.3   108.0    80.4   133.9   148.6   215.5   235.2   246.7   254.1   264.3   274.9   294.4   336.4   967.1  5761.2  14996.4    15000  1745248385230  1745248390441
read      221.4    67.8    86.8   131.0   144.2   222.5   246.1   258.6   267.4   276.6   290.2   310.1   348.8   492.9  1962.2  19958.0    20000  1745248391945  1745248397151
read      228.8    82.7    80.4   128.0   141.0   230.2   257.9   271.5   281.5   292.7   307.7   329.6   373.6   495.3  2517.3  25107.0    25000  1745248398654  1745248403859
read      232.5    81.9    80.4   125.8   138.8   234.2   265.5   281.0   291.6   304.0   318.4   341.9   389.3   466.6  1967.0  29851.8    30000  1745248405363  1745248410568
read      234.6    95.6    80.4   122.9   135.4   235.2   270.6   287.6   298.8   312.5   329.2   354.5   403.4   530.8  2800.1  34951.0    35000  1745248412071  1745248417277
read      232.1    91.3    74.4   119.4   131.3   230.4   270.0   288.8   301.4   315.9   334.5   361.9   414.8   507.0  3428.5  39925.0    40000  1745248418780  1745248423985
read      232.2    85.8    74.4   119.1   130.7   228.1   272.5   292.6   306.3   320.8   339.7   367.0   422.4   506.5  1997.6  45039.4    45000  1745248425488  1745248430692
read      230.7    92.1    74.4   116.6   128.2   224.1   271.3   292.9   307.4   322.8   342.7   370.8   427.3   502.7  2043.8  49744.0    50000  1745248432195  1745248437402
read      231.0    95.5    74.4   114.6   126.0   222.0   272.7   296.1   311.6   328.7   348.5   378.2   434.5   517.3  2841.7  54812.8    55000  1745248438906  1745248444111
read      230.4   100.0    74.4   113.9   125.4   217.9   270.2   295.1   311.8   330.1   351.3   382.6   438.0   536.8  3007.1  59760.6    60000  1745248445614  1745248450817
read      228.2    98.8    74.4   113.5   124.6   212.8   266.4   293.0   310.5   329.6   352.5   385.6   445.4   531.1  1983.9  64910.6    65000  1745248452321  1745248457525
read      231.6   120.7    74.4   113.2   124.6   214.1   268.4   296.1   314.6   335.2   360.1   395.1   462.5   592.8  4346.5  70055.8    70000  1745248459029  1745248464234
read      228.0    93.5    74.4   113.2   124.6   209.7   263.1   292.2   311.5   332.8   358.0   393.4   460.3   546.0  1091.0  75161.0    75000  1745248465737  1745248470940
read      229.4   111.0    74.4   112.7   124.2   210.0   262.4   291.6   311.4   333.4   360.0   397.2   466.3   611.7  3521.6  80007.9    80000  1745248472444  1745248477647
read      227.7   101.5    74.4   112.2   123.8   209.0   260.2   289.3   309.3   331.8   358.8   396.1   463.9   558.2  1924.5  84931.0    85000  1745248479151  1745248484362
read      233.4   109.4    74.4   114.1   126.7   214.4   265.8   294.7   314.9   337.7   365.6   403.5   476.7   623.0  2972.8  90132.6    90000  1745248485865  1745248491072
read      234.8   108.5    68.9   114.6   127.7   216.7   266.4   294.6   314.8   338.2   367.0   406.7   483.0   628.3  3562.7  94908.2    95000  1745248492576  1745248497781
read      238.0   106.5    74.4   116.0   129.6   221.0   270.6   298.6   318.6   341.6   369.7   410.5   487.2   634.6  2924.9 100122.4   100000  1745248499285  1745248504492
read      237.3   115.9    74.4   117.8   131.5   219.6   267.8   295.4   315.2   338.3   366.8   406.7   485.5   624.6  3718.8 105100.9   105000  1745248505996  1745248511199
read      237.9   109.2    74.4   119.2   133.1   221.1   268.1   295.2   314.7   337.3   365.6   404.4   482.5   623.3  2905.7 109981.1   110000  1745248512703  1745248517911
read      248.8   103.9    74.4   124.5   140.2   233.2   281.7   308.8   328.1   350.4   378.4   419.9   499.3   621.1  1939.7 115010.9   115000  1745248519415  1745248524621
read      248.0    95.8    74.4   126.3   141.6   232.6   280.3   307.2   326.1   347.8   375.1   416.1   495.0   616.5  1898.2 119879.4   120000  1745248526125  1745248531331
read      265.8   108.6    74.4   134.6   152.1   250.9   299.9   327.0   346.1   369.4   398.0   440.6   533.4   681.1  2900.7 124942.6   125000  1745248532834  1745248538041
read      304.3   130.9    74.4   152.2   173.2   287.3   341.7   372.5   395.2   422.0   456.2   508.0   617.6   843.2  4014.7 129885.3   130000  1745248539544  1745248544749
read      392.8   159.8    80.4   197.3   227.2   359.9   442.9   494.6   528.6   564.4   604.3   657.1   747.3   975.0  2698.3 134965.6   135000  1745248546252  1745248551458
read      435.8   167.0    80.4   239.5   266.8   394.1   505.9   556.4   586.1   617.6   652.5   698.0   787.0   941.4  4946.2 138665.2   140000  1745248552962  1745248558167
read      378.1   170.1    80.4   172.5   201.3   354.2   408.3   439.6   468.5   515.8   606.1   743.8   854.3  1001.8  3540.2 143035.0   145000  1745248559672  1745248564880
read      447.9   163.3    93.8   254.9   278.3   393.2   532.4   584.6   612.8   639.9   673.1   718.9   804.7   940.4  2782.6 141510.0   150000  1745248566383  1745248571591
read      465.4   180.4   101.3   273.7   298.1   393.5   553.3   620.2   651.4   678.4   708.9   743.5   813.4   987.8  5046.8 138060.1   155000  1745248573094  1745248578301
read      490.4   186.1    86.8   298.8   323.5   413.7   527.4   653.7   697.0   728.9   762.9   800.8   870.3  1036.8  5477.5 131809.1   160000  1745248579804  1745248585012
read      479.0   177.5    93.8   287.0   310.7   402.2   550.3   643.7   676.7   708.0   737.4   779.6   852.1   986.3  3112.8 134924.1   165000  1745248586515  1745248591720
read      476.4   195.9    93.8   269.6   298.3   405.8   562.1   629.2   661.0   690.3   723.3   765.5   859.5  1261.4  6113.3 135439.8   170000  1745248593224  1745248598433
read      490.3   184.6    86.8   299.0   323.1   412.6   536.0   657.1   696.9   727.2   759.9   798.8   869.8  1008.6  3947.5 131874.2   175000  1745248599937  1745248605142
read      489.0   194.7    93.8   292.0   317.5   411.4   553.2   653.7   691.9   722.9   755.2   796.1   869.3  1017.7  5388.5 132206.6   180000  1745248606645  1745248611851
