#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      189.1    96.6    86.8   136.4   145.2   181.6   196.4   204.8   211.8   218.9   230.6   250.3   310.0  1196.8  4240.2   4964.8     5000  1745082744243  1745082749513
read      193.9    65.1    80.4   132.4   145.5   190.6   206.5   215.5   222.3   230.7   241.9   260.8   306.8   680.8  2006.4  10015.6    10000  1745082751017  1745082756253
read      205.8    89.1    80.4   128.3   143.9   202.5   221.2   231.3   238.6   248.5   261.1   282.4   337.0   802.2  2807.2  15021.8    15000  1745082757756  1745082762955
read      206.9    66.2    74.4   122.5   137.4   206.9   227.1   237.5   246.3   255.2   268.8   289.3   340.7   651.4  2379.9  19955.8    20000  1745082764458  1745082769655
read      218.1   169.9    68.9   120.5   135.0   216.7   239.8   252.2   261.3   271.2   285.5   308.1   366.2   734.0 10049.9  24953.0    25000  1745082771159  1745082776359
read      213.7    80.6    68.9   116.6   129.4   215.6   241.0   253.9   263.5   273.3   288.0   310.3   363.2   696.2  2920.0  29967.7    30000  1745082777863  1745082783062
read      216.5   104.0    74.4   116.8   128.8   219.1   246.6   260.6   270.1   281.6   295.4   318.1   370.2   520.0  2428.7  34886.4    35000  1745082784564  1745082789760
read      214.2    76.2    74.4   112.1   123.6   218.6   247.7   262.0   271.3   282.8   296.0   318.6   372.2   489.7  2049.1  40047.5    40000  1745082791264  1745082796466
read      219.1    77.9    68.9   113.0   124.8   220.6   254.7   270.4   281.3   293.3   309.6   334.4   393.2   701.4  1670.7  45022.4    45000  1745082797970  1745082803167
read      218.0    90.7    74.4   112.9   123.9   217.6   255.3   272.0   283.6   295.9   313.1   338.7   396.6   530.1  1158.4  50099.4    50000  1745082804670  1745082809871
read      223.0    91.2    68.9   110.7   121.9   220.6   262.9   281.8   294.1   308.7   325.8   352.5   413.5   581.2  2940.6  54943.0    55000  1745082811375  1745082816578
read      219.4    84.3    74.4   111.5   122.3   212.6   259.4   279.5   292.4   307.1   324.1   351.1   411.5   542.7  1360.4  60019.6    60000  1745082818083  1745082823285
read      213.9    81.8    68.9   110.9   121.1   202.1   251.0   272.8   287.1   302.5   320.5   349.4   410.6   510.7  1119.4  64984.0    65000  1745082824789  1745082829987
read      217.3    89.8    74.4   110.9   121.2   204.7   255.4   277.7   292.1   308.2   327.2   356.9   424.7   573.1  2431.7  70113.0    70000  1745082831490  1745082836691
read      218.8    91.9    68.9   109.6   119.9   204.2   258.1   282.3   297.3   314.2   335.1   366.1   430.5   544.6  1773.8  74842.2    75000  1745082838194  1745082843391
read      216.8   117.8    74.4   111.0   121.4   198.2   250.2   275.6   292.1   310.3   332.0   364.5   434.1   684.2  2378.2  79922.6    80000  1745082844893  1745082850093
read      216.5    87.2    68.9   109.7   120.2   198.7   251.9   278.1   294.7   312.8   334.4   366.2   434.6   584.9  1491.3  85156.2    85000  1745082851596  1745082856793
read      213.0   165.7    74.4   111.2   121.4   191.7   240.8   268.8   286.7   305.9   328.7   362.5   432.2   585.8  2881.9  90000.4    90000  1745082858297  1745082863496
read      213.9    87.7    68.9   109.6   120.0   194.6   246.0   273.9   291.8   310.7   332.8   364.7   430.7   572.0  1172.1  94839.3    95000  1745082865000  1745082870200
read      219.7   229.6    68.9   112.5   123.5   196.5   244.0   272.2   291.1   311.8   337.0   373.4   464.4   756.6 11590.5 100295.9   100000  1745082871704  1745082876908
read      220.4   101.5    68.9   113.0   124.2   198.0   246.6   275.1   294.4   315.4   341.1   380.1   486.8   942.7  2171.8 104870.6   105000  1745082878414  1745082883613
read      215.0    97.2    68.9   111.9   122.6   194.6   241.3   269.9   289.3   310.3   334.9   370.3   450.1   642.9  1122.7 109926.7   110000  1745082885118  1745082890317
read      218.3   107.6    68.9   113.2   124.7   197.1   243.2   271.2   290.6   312.3   338.4   375.6   466.0   803.6  2022.7 114803.1   115000  1745082891821  1745082897023
read      217.8    99.6    74.4   114.7   126.5   197.3   240.0   267.3   286.9   309.1   335.9   374.2   463.6   754.9  3234.8 119815.9   120000  1745082898528  1745082903727
read      230.2   118.2    68.9   118.4   131.3   210.0   254.3   281.0   299.8   321.5   349.5   393.4   504.7   997.1  4228.7 124671.1   125000  1745082905232  1745082910432
read      224.8    95.9    68.9   117.3   130.0   206.0   249.6   275.5   294.5   316.2   343.0   384.3   476.4   776.4  2669.9 129882.2   130000  1745082911936  1745082917136
read      231.8    94.8    74.4   123.3   137.1   214.8   256.7   281.5   299.4   320.2   346.6   389.0   484.5   801.4  1968.4 134877.2   135000  1745082918640  1745082923840
read      232.1   106.7    74.4   123.3   137.2   214.9   255.9   280.4   298.2   319.4   346.2   389.0   487.7   819.5  3741.0 140075.2   140000  1745082925345  1745082930550
read      245.5   116.3    74.4   129.4   144.2   228.5   270.7   294.7   312.4   333.2   360.6   403.1   526.5  1097.2  3470.8 144931.9   145000  1745082932054  1745082937254
read      241.4   143.0    74.4   128.2   142.4   222.2   262.9   287.0   305.3   327.7   358.4   407.7   545.5   976.7  3160.9 149785.7   150000  1745082938758  1745082943956
read      253.3   115.6    74.4   135.4   151.4   237.4   278.6   302.1   319.0   340.2   368.1   413.4   535.3  1007.0  4099.1 154840.2   155000  1745082945460  1745082950663
read      312.7   142.8    80.4   159.5   181.9   296.0   344.8   372.9   394.2   419.9   454.1   508.1   665.4  1377.1  4765.4 159598.8   160000  1745082952167  1745082957366
read      283.1   108.3    74.4   151.0   170.6   270.2   314.0   339.0   357.7   379.9   408.8   457.0   562.5   791.6  2369.5 165068.4   165000  1745082958871  1745082964071
read      365.6   140.2    80.4   187.8   214.1   353.3   411.8   442.9   464.8   491.3   524.7   577.8   724.4  1332.5  2953.5 165436.4   170000  1745082965576  1745082970777
read      381.2   142.5    86.8   197.7   224.9   363.4   433.2   469.4   494.7   523.0   557.0   611.3   733.2  1038.0  2751.7 164265.9   175000  1745082972281  1745082977480
read      352.6   173.1    74.4   163.5   188.3   313.4   372.7   418.4   463.7   526.6   593.9   673.1   804.2  1263.9  4206.6 160854.9   180000  1745082978986  1745082984185
read      390.8   144.8    86.8   206.9   231.5   381.1   454.7   487.4   508.3   533.2   562.4   605.4   697.1  1017.4  2643.8 164397.4   185000  1745082985690  1745082990889
read      386.7   139.3    86.8   201.7   226.4   378.5   447.5   479.5   501.1   526.3   555.9   604.0   715.2   941.9  3567.2 165618.4   190000  1745082992393  1745082997593
read      393.6   156.4    86.8   201.8   228.9   373.2   440.7   480.4   509.0   543.8   586.5   644.5   757.5   957.6  4384.4 163010.7   195000  1745082999097  1745083004298
read      389.2   144.3    86.8   203.2   228.7   374.8   445.4   479.9   503.4   531.1   564.8   615.9   732.4  1178.1  3663.1 165482.7   200000  1745083005801  1745083011002
read      386.2   145.4    86.8   201.1   226.5   375.3   443.1   476.2   499.5   526.4   558.8   609.1   712.9   926.2  2806.7 166782.8   205000  1745083012506  1745083017706
read      386.0   146.0    86.8   203.5   228.4   376.3   442.9   474.8   497.4   522.9   552.7   600.5   707.1  1006.8  3730.9 167008.8   210000  1745083019209  1745083024409
read      388.1   156.8    86.8   200.9   226.1   376.0   443.7   476.6   499.7   526.8   560.5   616.3   747.4  1156.0  5065.3 166042.8   215000  1745083025913  1745083031114
read      391.0   139.6    86.8   205.6   230.5   381.8   453.5   486.2   507.4   533.0   563.7   610.2   712.9   929.5  2939.8 164863.8   220000  1745083032617  1745083037819
