#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      200.9    77.4    86.8   141.1   152.4   195.1   212.1   221.5   228.8   236.1   249.1   268.0   318.2   744.6  3885.3   4941.8     5000  1745081698000  1745081703269
read      214.2    78.0    80.4   137.9   153.9   209.9   230.5   242.0   250.3   260.4   272.8   293.1   338.4   875.8  2995.8   9949.6    10000  1745081704772  1745081710020
read      215.7    78.5    74.4   123.7   140.2   212.9   236.8   250.8   260.9   272.3   287.4   309.2   357.6   677.5  2687.5  14957.6    15000  1745081711524  1745081716722
read      219.8    77.2    74.4   118.2   132.8   218.6   247.0   262.4   272.6   285.5   300.6   323.4   372.8   606.5  2565.9  19997.6    20000  1745081718227  1745081723424
read      218.8    77.4    74.4   114.4   126.9   217.1   248.8   265.8   277.2   291.2   308.2   333.2   385.1   546.6  2304.6  24850.2    25000  1745081724927  1745081730128
read      231.7   156.3    74.4   114.1   127.1   228.3   264.4   282.3   294.9   310.2   328.7   357.4   415.8   800.1  7839.7  29986.8    30000  1745081731632  1745081736831
read      225.3   154.2    68.9   113.2   124.9   219.0   258.7   278.3   291.6   307.2   326.3   355.3   410.6   550.0 10511.0  34967.2    35000  1745081738335  1745081743535
read      235.4    93.7    68.9   112.8   124.4   229.2   275.2   297.9   313.4   330.8   351.6   382.4   442.2   667.1  2035.0  40141.4    40000  1745081745038  1745081750237
read      230.3    97.2    68.9   110.0   120.6   220.7   269.2   294.9   312.1   330.6   351.8   383.2   443.5   540.1  2660.3  45079.2    45000  1745081751741  1745081756941
read      234.4   150.2    68.9   111.1   122.0   222.6   270.0   296.4   314.9   335.3   359.1   392.0   457.0   685.8  8800.3  49885.6    50000  1745081758446  1745081763646
read      238.7   108.2    74.4   110.0   121.0   226.8   277.6   306.6   326.2   347.6   373.1   409.3   481.3   602.7  2630.4  54854.0    55000  1745081765149  1745081770348
read      240.4   108.5    68.9   108.3   119.3   226.1   280.1   311.0   332.2   355.4   382.5   420.6   496.4   680.4  2078.9  59871.4    60000  1745081771851  1745081777053
read      248.4   127.2    68.9   109.5   120.8   233.1   289.9   321.8   344.3   369.0   397.9   437.9   518.9   694.1  2939.1  64968.4    65000  1745081778557  1745081783755
read      252.8   236.8    74.4   110.3   121.7   230.9   290.3   324.1   347.8   374.1   404.2   450.4   543.0  1051.4 12436.9  70012.2    70000  1745081785259  1745081790459
read      286.8   271.2    74.4   112.6   125.2   234.7   300.2   339.6   367.1   397.8   435.9   507.9  1662.2  2926.8  7703.4  75025.6    75000  1745081791963  1745081797163
