#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      210.0   111.8    93.8   148.8   159.9   203.5   218.6   227.5   233.0   240.8   251.1   268.9   323.9  1389.3  4707.1   4956.0     5000  1745262640315  1745262645585
read      208.4    75.0    86.8   144.0   157.1   205.4   221.6   230.6   236.2   245.6   255.1   273.5   315.9   963.3  3490.9   9995.6    10000  1745262647089  1745262652340
read      212.9    92.0    86.8   140.4   153.9   210.1   228.9   238.7   246.8   254.9   267.4   285.2   325.7   952.9  3992.5  15049.4    15000  1745262653844  1745262659045
read      220.0    95.8    86.8   137.4   151.8   220.0   239.9   250.9   258.9   268.5   280.1   297.8   340.9   649.8  3770.8  19989.2    20000  1745262660549  1745262665748
read      219.0    60.7    86.8   132.6   146.4   220.2   242.8   254.4   263.4   272.7   286.3   306.0   345.5   430.5  1301.3  24960.2    25000  1745262667252  1745262672455
read      220.0    71.7    80.4   129.0   142.2   220.8   246.3   259.6   268.8   279.4   293.2   314.4   359.6   466.0  1748.7  29964.6    30000  1745262673958  1745262679158
read      225.5    80.0    80.4   126.8   139.8   226.5   256.6   270.7   280.6   291.8   306.2   327.0   372.1   468.5  2293.0  34704.6    35000  1745262680662  1745262685862
read      219.0    65.4    80.4   123.0   135.3   219.3   250.9   266.0   275.5   287.8   301.5   321.1   366.9   436.1  1005.6  40119.4    40000  1745262687366  1745262692566
read      217.7    95.4    74.4   120.1   132.0   215.1   249.3   265.5   275.8   288.5   303.4   325.0   370.8   459.1  3116.0  44911.8    45000  1745262694069  1745262699272
read      221.0    92.6    74.4   116.8   128.7   218.1   256.7   273.9   286.0   298.6   315.1   339.4   389.7   483.1  2771.8  49955.0    50000  1745262700775  1745262705975
read      221.2    84.8    74.4   116.8   128.5   215.8   257.4   275.7   288.3   302.0   318.1   343.1   398.1   559.9  2643.6  54967.0    55000  1745262707479  1745262712680
read      221.0    93.5    74.4   115.5   127.0   213.3   258.1   278.0   290.9   305.4   321.3   346.3   401.0   521.6  3491.3  59977.8    60000  1745262714184  1745262719386
read      217.3    85.5    74.4   114.6   125.4   205.4   252.7   274.6   288.7   304.0   321.1   349.0   407.0   519.5  2018.8  64953.4    65000  1745262720890  1745262726091
read      215.8    88.8    74.4   111.6   122.2   203.5   252.3   274.6   289.1   304.6   321.9   348.5   403.0   515.8  2480.3  70093.5    70000  1745262727595  1745262732797
read      214.9    91.3    74.4   112.1   122.4   199.5   248.9   273.1   288.4   304.9   323.7   352.7   416.5   536.8  2756.3  75147.2    75000  1745262734301  1745262739503
read      210.6    86.6    74.4   111.3   121.1   194.0   241.9   267.6   283.8   301.0   320.3   349.0   408.1   508.4  1639.3  79922.9    80000  1745262741007  1745262746208
read      212.2   105.4    68.9   111.4   121.3   193.4   241.5   268.4   285.5   303.5   324.0   355.8   419.4   538.4  3741.8  84827.7    85000  1745262747712  1745262752911
read      210.4    95.1    74.4   110.6   120.3   190.8   238.6   266.3   283.9   302.7   324.0   356.6   423.8   574.9  2536.4  90308.6    90000  1745262754415  1745262759615
read      210.0   101.1    74.4   109.0   118.4   189.7   238.4   266.9   285.1   304.4   326.4   359.8   426.9   552.5  2754.9  95101.8    95000  1745262761118  1745262766322
read      211.4    86.0    74.4   111.1   121.0   190.8   238.7   267.9   286.8   306.6   329.5   363.2   430.5   566.7  1506.7  99756.8   100000  1745262767826  1745262773027
read      215.7   107.0    74.4   111.8   122.3   192.4   240.5   270.2   290.3   311.9   337.6   375.3   468.4   680.6  2529.4 104765.8   105000  1745262774531  1745262779730
read      210.3    87.9    74.4   111.3   121.4   189.3   234.2   263.3   282.9   304.0   328.3   364.0   435.3   575.6  1404.8 109975.2   110000  1745262781233  1745262786437
read      206.5    85.9    74.4   111.8   121.7   186.6   227.7   254.5   273.9   295.3   319.7   355.7   428.5   572.8  1378.6 114890.8   115000  1745262787940  1745262793142
read      210.4    95.1    74.4   112.3   122.8   189.5   231.8   258.9   278.3   299.8   324.6   362.5   442.2   663.1  2649.0 120115.8   120000  1745262794646  1745262799847
read      210.7    98.9    74.4   113.0   123.8   190.5   231.9   258.6   277.8   299.4   324.6   362.0   437.3   631.7  2690.4 124935.9   125000  1745262801351  1745262806555
read      210.2    91.8    74.4   114.4   125.5   191.0   230.1   255.4   274.4   296.0   321.0   360.6   440.4   648.7  1390.1 129788.0   130000  1745262808058  1745262813262
read      206.0    90.8    74.4   113.4   124.0   186.9   224.7   248.8   267.4   289.0   314.7   352.5   432.0   584.7  2168.6 135059.6   135000  1745262814765  1745262819967
read      207.1   104.9    74.4   114.4   125.6   188.8   224.8   247.7   265.5   286.4   312.0   348.1   425.5   676.5  4271.7 139802.3   140000  1745262821470  1745262826670
read      205.7    79.5    68.9   113.8   125.1   189.2   224.8   246.9   264.0   284.1   309.5   345.9   425.2   621.4  1484.9 144648.3   145000  1745262828173  1745262833375
read      220.1    89.6    74.4   120.7   133.4   202.3   239.4   263.3   280.8   302.0   329.2   371.8   468.8   721.5  1681.6 149992.0   150000  1745262834878  1745262840080
read      234.5   117.7    74.4   121.2   134.0   205.7   246.5   273.5   295.3   323.6   367.9   451.4   635.6   902.2  2156.0 154682.9   155000  1745262841583  1745262846783
read      216.0    88.0    74.4   120.4   133.3   201.6   235.5   256.8   272.4   291.5   316.1   355.5   442.4   664.0  1744.9 160141.2   160000  1745262848286  1745262853488
read      240.9   104.2    74.4   128.7   143.5   223.2   262.7   286.4   304.4   326.6   358.1   409.4   536.0   819.0  2707.3 164826.8   165000  1745262854992  1745262860194
read      246.0   102.2    74.4   130.4   145.6   226.6   267.6   292.7   312.3   336.9   370.6   427.3   548.9   791.4  2385.3 169690.4   170000  1745262861697  1745262866898
read      238.0    85.7    74.4   135.8   151.3   226.8   260.3   279.5   294.0   312.3   336.5   374.5   466.6   747.3  1990.3 174944.5   175000  1745262868402  1745262873603
read      233.2    83.5    74.4   132.4   147.6   221.4   254.1   273.4   288.5   306.6   331.4   372.2   470.5   730.8  1687.3 179658.1   180000  1745262875107  1745262880312
read      259.1   116.0    74.4   140.5   157.4   241.5   282.5   307.6   326.6   350.3   382.2   430.6   535.8   829.3  3489.8 184118.3   185000  1745262881815  1745262887020
read      261.9   104.8    74.4   145.3   162.7   244.7   283.4   307.3   325.5   348.9   381.7   433.7   546.8   861.8  2405.7 187901.2   190000  1745262888523  1745262893724
read      263.3   106.3    74.4   147.6   164.8   245.2   284.1   308.8   328.1   352.3   384.7   433.3   539.9   972.8  2737.4 190298.0   195000  1745262895227  1745262900432
read      274.1   107.8    80.4   156.3   175.6   260.7   296.9   318.5   335.7   356.5   384.8   431.1   543.9   994.0  2525.6 195423.3   200000  1745262901935  1745262907138
read      323.3   121.6    74.4   175.4   198.0   303.9   353.6   383.5   405.1   432.9   469.3   531.8   682.6   972.1  2409.1 187539.0   205000  1745262908641  1745262913844
read      293.5    97.5    80.4   177.3   199.2   283.4   316.4   336.6   351.4   370.5   397.0   439.3   543.0   829.2  2046.0 202419.3   210000  1745262915348  1745262920553
read      305.2   108.3    80.4   187.5   209.1   292.1   328.3   350.2   367.6   389.0   417.0   461.4   556.9   745.6  4451.3 202470.1   215000  1745262922056  1745262927261
read      300.7    83.8    80.4   192.1   215.5   296.2   324.7   341.1   353.3   368.2   388.6   421.5   503.3   711.5  2090.8 206037.0   220000  1745262928764  1745262933964
