#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      198.5   100.0    80.4   142.6   153.5   192.3   206.4   214.5   220.1   228.0   236.0   253.7   296.1  1298.3  3704.2   4942.4     5000  1745262025496  1745262030764
read      207.5    74.9    86.8   143.1   156.4   203.5   219.5   228.7   234.5   243.4   253.5   272.4   322.4   986.9  3152.6   9994.0    10000  1745262032268  1745262037509
read      210.9    57.0    80.4   140.3   154.8   210.3   227.5   235.7   243.5   251.5   262.9   279.1   316.9   563.2  1529.7  14912.2    15000  1745262039013  1745262044225
read      215.2    62.3    80.4   135.4   149.4   215.3   234.9   246.2   253.4   263.4   274.0   293.6   336.9   504.3  2014.9  20032.6    20000  1745262045729  1745262050938
read      218.8    62.8    80.4   131.8   145.9   220.2   242.4   253.8   263.0   272.5   286.0   305.2   345.6   434.7  2011.3  25016.0    25000  1745262052441  1745262057645
read      223.2    87.0    80.4   130.0   143.6   224.4   250.1   263.2   271.8   282.8   295.5   316.4   359.9   435.5  1984.8  30067.2    30000  1745262059149  1745262064352
read      221.7    68.1    80.4   126.8   139.5   223.0   251.1   265.0   273.9   285.8   298.8   319.9   368.7   481.9  1960.7  35027.4    35000  1745262065856  1745262071063
read      222.5   102.1    80.4   122.9   135.5   222.2   253.6   268.8   279.1   291.2   306.5   329.1   376.9   491.4  3043.7  40171.6    40000  1745262072567  1745262077769
read      223.7    73.6    80.4   121.0   133.3   223.5   258.3   273.9   285.4   297.1   313.4   337.1   389.7   474.2  1271.9  44736.8    45000  1745262079272  1745262084473
read      223.3    86.2    80.4   119.8   131.6   219.3   258.0   275.2   287.5   300.5   316.8   342.0   398.0   538.5  2577.7  49883.6    50000  1745262085976  1745262091191
read      221.4    93.1    74.4   117.6   128.9   215.3   256.6   275.4   288.3   302.2   318.6   344.3   400.4   543.5  2886.1  54811.8    55000  1745262092695  1745262097896
read      217.6    91.7    74.4   115.8   126.9   209.2   253.1   272.7   285.9   299.9   317.0   342.3   395.9   489.4  1612.8  60138.0    60000  1745262099400  1745262104602
read      219.4    84.4    80.4   114.8   125.5   208.9   256.0   277.2   291.2   306.8   325.1   353.6   415.0   535.9  1441.3  65032.6    65000  1745262106106  1745262111306
read      216.4    85.1    74.4   112.7   123.1   204.0   252.8   275.4   289.8   305.5   323.1   349.8   404.4   509.0  1540.9  69957.8    70000  1745262112811  1745262118011
read      214.0    99.2    74.4   112.5   122.8   198.5   247.4   271.3   286.6   303.0   321.1   349.8   410.3   550.6  2617.6  74970.2    75000  1745262119514  1745262124716
read      212.7    84.0    68.9   111.4   121.5   196.4   245.5   271.0   287.0   304.0   323.2   353.0   413.2   522.4  1408.3  80021.0    80000  1745262126220  1745262131421
read      211.9   100.1    74.4   110.8   120.6   194.2   242.3   268.5   285.3   303.3   323.3   354.2   418.8   556.6  2542.1  85244.3    85000  1745262132925  1745262138128
read      217.2    98.5    74.4   111.3   121.5   197.7   249.7   277.1   294.6   313.2   335.7   369.1   446.7   608.0  2459.1  89856.2    90000  1745262139631  1745262144834
read      212.3    97.0    74.4   111.0   120.9   192.1   240.2   268.5   287.1   306.7   329.3   362.9   431.8   568.9  2868.9  95111.5    95000  1745262146338  1745262151540
read      210.8    89.4    68.9   111.9   121.9   190.1   235.9   264.8   283.7   303.8   326.8   361.5   433.3   594.0  1960.5 100097.3   100000  1745262153045  1745262158248
read      208.5    92.2    74.4   110.7   120.5   188.1   232.9   261.1   280.3   300.6   323.2   357.4   425.6   564.0  2348.7 105076.4   105000  1745262159751  1745262164956
read      209.1    87.3    74.4   112.4   122.7   188.7   231.3   258.8   278.1   299.1   322.8   359.0   432.3   608.9  1886.1 109972.7   110000  1745262166459  1745262171664
read      210.3    94.7    74.4   112.0   122.4   189.5   232.6   260.4   280.0   301.5   326.2   362.6   434.3   593.6  2604.4 115115.3   115000  1745262173169  1745262178373
read      208.7    93.1    74.4   112.6   123.0   188.2   229.2   256.0   275.5   297.2   321.7   360.0   436.5   619.7  3174.4 119856.9   120000  1745262179878  1745262185080
read      202.7    81.9    74.4   111.7   121.6   184.1   222.1   246.8   265.6   287.0   311.9   345.7   417.8   556.6  1658.4 125303.9   125000  1745262186583  1745262191786
read      210.2    87.3    74.4   113.6   124.5   190.9   230.8   256.3   275.2   296.9   322.2   361.6   442.2   635.1  1371.8 129918.2   130000  1745262193290  1745262198492
read      218.7   109.2    74.4   115.7   127.4   196.6   237.6   264.8   284.4   307.3   335.9   382.2   498.4   789.1  4115.3 135165.2   135000  1745262199997  1745262205203
read      204.3    91.1    68.9   113.2   123.9   186.7   222.9   245.7   263.4   284.3   310.0   346.2   425.1   580.8  1596.7 139684.9   140000  1745262206707  1745262211908
read      212.6    94.6    74.4   116.5   128.5   195.6   232.4   255.3   272.7   293.4   318.8   359.1   441.1   640.7  2016.3 144992.2   145000  1745262213411  1745262218613
read      225.1    99.5    74.4   119.9   132.5   205.0   245.7   271.1   290.1   312.6   342.3   392.3   506.7   715.1  1827.1 149892.9   150000  1745262220116  1745262225322
read      219.7    94.4    74.4   120.3   133.3   204.1   240.3   262.7   278.9   298.2   323.8   365.7   457.2   706.7  3007.3 154904.9   155000  1745262226827  1745262232031
read      222.4   103.4    74.4   124.2   138.0   208.1   242.8   264.2   279.7   298.3   322.9   363.8   451.0   674.1  3540.7 159849.2   160000  1745262233536  1745262238738
read      229.8    93.4    74.4   128.0   141.8   215.5   251.3   272.7   289.1   308.7   334.8   375.3   469.6   710.4  2602.8 165143.3   165000  1745262240241  1745262245446
read      237.6    94.3    74.4   132.4   147.7   223.7   259.6   280.6   296.3   316.3   343.0   387.7   489.5   743.9  2033.5 170219.5   170000  1745262246950  1745262252153
read      257.3   120.2    74.4   133.9   150.0   233.8   275.9   302.5   323.1   351.0   392.1   462.4   616.1   961.4  2603.2 171623.7   175000  1745262253656  1745262258860
read      231.1    96.9    74.4   132.8   147.9   219.9   251.9   270.8   285.2   302.3   325.3   364.2   452.2   664.9  2992.2 180034.1   180000  1745262260363  1745262265566
read      255.0    97.0    74.4   144.6   162.1   242.6   277.4   297.6   313.9   333.8   361.1   404.6   508.0   752.5  1817.5 184858.0   185000  1745262267069  1745262272273
read      257.3   143.4    80.4   134.5   149.9   225.7   262.0   285.1   304.0   330.8   377.3   514.1   820.3  1178.6  2562.9 180335.9   190000  1745262273777  1745262278980
read      275.6   111.1    80.4   157.2   176.1   257.5   291.9   313.2   330.3   353.1   390.7   466.4   628.3   919.8  2011.8 187986.5   195000  1745262280483  1745262285693
read      272.5   100.4    80.4   159.1   177.8   260.2   295.6   317.0   333.6   353.3   379.6   422.7   521.7   862.4  2550.1 196143.7   200000  1745262287197  1745262292407
read      305.7    96.6    80.4   189.7   213.5   296.4   327.9   345.9   361.5   379.1   404.0   450.4   549.5   779.4  3257.1 198216.3   205000  1745262293912  1745262299115
read      294.0    97.0    80.4   187.4   209.1   286.8   315.6   332.7   344.7   361.8   383.2   420.0   510.1   757.1  2796.8 203593.6   210000  1745262300618  1745262305823
read      314.1    94.2    74.4   197.9   221.2   304.0   338.7   359.4   373.9   393.7   419.1   460.1   554.1   773.9  3005.5 200404.8   215000  1745262307327  1745262312531
read      322.8    98.4    80.4   206.4   231.3   313.8   344.7   363.8   376.8   395.2   419.6   461.4   579.8   932.0  3164.9 198429.5   220000  1745262314035  1745262319240
