#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      202.8    81.5    86.8   137.7   150.5   196.8   213.7   223.1   230.1   237.8   250.9   270.9   325.1  1015.1  3113.9   4963.8     5000  1745246987566  1745246992832
read      212.5    81.6    86.8   136.4   151.9   208.6   227.8   238.0   246.8   255.8   269.2   288.5   334.0   955.6  2884.3   9956.8    10000  1745246994336  1745246999577
read      219.1   107.8    86.8   133.1   148.5   217.2   238.5   250.4   259.0   269.1   282.0   301.9   346.2   885.8  3167.7  15076.4    15000  1745247001080  1745247006284
read      226.6    83.1    80.4   126.2   141.5   226.4   251.6   265.0   273.8   285.7   299.1   321.0   373.4   891.1  2882.3  19993.2    20000  1745247007788  1745247012990
read      230.9   105.3    80.4   124.7   138.6   230.9   259.3   273.2   284.0   295.4   311.6   335.8   393.7   639.0  3853.0  24899.0    25000  1745247014493  1745247019693
read      229.4    89.4    80.4   120.7   133.7   230.5   262.1   277.3   288.4   300.3   316.1   340.4   394.9   653.6  2829.4  30101.8    30000  1745247021197  1745247026401
read      221.7    82.0    80.4   118.4   129.7   221.9   255.4   271.6   283.1   295.2   311.9   336.1   387.7   505.5  2073.0  35111.8    35000  1745247027905  1745247033107
read      227.9   115.4    74.4   117.0   128.7   224.6   263.6   282.0   294.3   308.7   325.5   352.1   408.2   643.3  5719.8  39929.0    40000  1745247034611  1745247039811
read      229.7    85.4    74.4   116.9   128.5   226.3   269.7   289.9   303.4   317.9   337.0   364.4   417.6   496.9  1258.5  45055.0    45000  1745247041315  1745247046515
read      234.8   116.5    74.4   118.3   129.7   226.3   274.7   296.9   311.8   328.2   347.4   375.9   433.9   610.2  4547.7  50017.0    50000  1745247048018  1745247053217
read      234.6    98.6    74.4   115.0   127.2   225.9   276.8   300.3   315.8   333.6   354.9   386.8   446.6   530.2  2119.3  54987.4    55000  1745247054721  1745247059921
read      235.7   106.5    80.4   116.3   128.0   221.4   276.6   302.9   319.8   339.2   362.6   395.5   460.2   565.5  1611.3  60186.3    60000  1745247061424  1745247066623
read      228.6    99.3    74.4   113.7   124.9   211.8   265.5   293.1   311.4   331.5   355.2   388.9   453.1   560.5  1914.5  65242.6    65000  1745247068127  1745247073337
