ubuntu@client-measure-rdtc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 --loadonly && ./mcperf -s 10.0.16.5 -a 10.0.16.3 --noload -T 8 -C 8 -D 4 -Q 1000 -c 8 -t 1800  --qps_interval 10 --qps_min 5000 --qps_max 180000 --qps_seed 2333
Random waveform, supplied seed
Total number of intervals = 180 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582)
Average QPS expected = 89046
Timestamp start: 1747004667829
Timestamp end: 1747006468163

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      167.3    59.2    74.4   118.2   129.2   164.0   176.7   183.8   188.7   195.7   203.0   217.6   257.8   697.2  2762.6   8164.2     8195
read      209.4   107.2    63.8   105.6   116.3   184.6   226.7   254.6   276.3   302.2   334.4   383.2   499.6   903.5  2905.1 158625.7   158594
read      203.0    98.6    63.8   103.5   113.5   179.9   221.3   249.0   270.2   294.6   324.1   368.6   465.2   713.9  2491.0 149937.8   149766
read      177.4    66.1    74.4   113.6   127.7   171.9   189.1   199.0   206.4   215.5   227.8   247.0   298.2   868.6  1818.9  10438.9    10382
read      272.5   192.8    63.8   111.4   124.5   218.4   282.1   324.6   359.3   405.8   479.5   615.7   964.3  1725.9  4069.6 170330.2   170548
read      209.4   125.6    63.8   102.0   112.0   180.4   224.3   253.5   275.6   302.1   335.1   388.9   583.2  1293.2  3284.4 150672.5   150565
read      201.2   111.0    63.8    98.7   107.9   174.3   219.0   248.4   270.1   294.8   324.9   370.8   506.0  1100.4  2466.2 137097.7   137144
read      203.9   117.1    63.8   100.0   109.7   176.1   220.2   249.0   270.8   295.7   326.6   373.9   528.3  1350.8  2770.1 143337.4   143496
read      203.8   116.4    63.8   101.7   111.2   177.0   220.8   250.0   271.8   296.9   328.6   375.5   500.0  1062.0  3519.4 144667.4   144743
read      196.1   105.9    63.8    96.0   104.2   171.1   218.4   247.3   268.0   290.8   318.1   359.1   452.3  1016.8  2590.1 116695.4   116745
read      197.2   108.6    63.8    97.1   105.8   171.5   216.6   245.3   266.5   290.4   319.1   363.2   469.2  1009.8  2719.4 129341.6   129314
read      210.0   140.1    63.8   102.3   112.2   180.3   224.8   254.0   275.8   301.4   332.9   382.7   561.2  1731.5  3823.4 144915.5   144723
read      196.6   101.7    63.8    97.6   106.4   174.5   221.4   249.7   269.6   291.5   317.3   354.8   430.6   622.4  2270.9 117127.7   117379
