ubuntu@client-measure-rdtc:~/memcache-perf-dynamic$ ./mcperf -s 10.0.16.5 --loadonly && ./mcperf -s 10.0.16.5 -a 10.0.16.3 --noload -T 8 -C 8 -D 4 -Q 1000 -c 8 -t 1800  --qps_interval 10 --qps_min 5000 --qps_max 180000 --qps_seed 2333
Random waveform, supplied seed
Total number of intervals = 180 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582)
Average QPS expected = 89046
Timestamp start: 1747001616379
Timestamp end: 1747003416704

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      197.6   107.9    68.9    99.4   108.7   171.0   213.1   241.4   263.8   289.3   319.9   367.9   491.1   956.9  2603.5 141322.5   141240
read      225.8   156.3    63.8    98.6   109.1   212.3   258.2   282.2   298.3   316.7   339.6   372.3   467.2  1960.5  5124.9  41471.9    41405
read      230.5   131.0    63.8    97.2   107.3   215.1   270.9   300.1   319.2   340.5   365.7   399.7   471.4  1374.7  4484.0  58043.3    57997
read      228.6   151.0    68.9    99.8   109.5   184.7   242.7   280.7   308.1   341.3   392.0   491.1   762.0  1328.8  2989.3 133567.9   133577
read      229.8   148.2    63.8    97.4   107.4   213.2   265.3   293.0   311.8   333.1   358.8   395.3   500.9  1725.1  4550.1  53892.5    53832
read      215.1   153.2    63.8    99.9   109.3   174.3   220.8   252.6   276.9   306.1   344.2   425.2   850.0  1597.8  3225.5 139866.0   139832
read      221.7   137.8    63.8   106.0   116.9   186.9   232.2   263.6   287.7   316.9   358.3   434.3   672.0  1407.5  3205.0 170580.0   170515
read      198.4   121.0    63.8    98.0   106.8   170.1   214.2   243.1   265.1   290.0   319.5   365.8   498.0  1360.5  3261.5 128639.4   128494
read      202.5   128.0    68.9   100.8   113.2   190.7   217.0   231.6   242.6   255.4   274.0   308.6   616.7  1917.9  3928.1  20756.8    20789
read      270.6   233.0    63.8    98.2   110.7   228.2   292.2   327.0   351.5   380.0   418.4   495.0  1199.9  2914.4  5279.5  63599.5    63647
read      265.2   210.7    63.8    98.2   110.5   226.9   290.7   325.1   349.5   377.3   414.1   483.2  1098.5  2707.5  3666.1  64719.2    64802
read      247.8   176.3    63.8    97.0   108.4   220.3   278.6   309.5   330.8   355.4   387.1   437.5   876.2  2143.0  4834.5  55753.6    55719
read      262.1   211.8    63.8   109.6   121.3   204.9   262.5   301.0   332.4   374.0   441.6   587.9  1095.8  2290.4  4207.7 174096.5   174179
read      198.0   114.4    63.8    97.2   105.4   172.0   219.9   248.7   269.4   292.2   318.7   359.5   463.5  1212.9  2901.4 106256.8   106356
read      233.2   145.0    63.8   110.3   122.3   197.7   245.1   277.0   302.0   333.4   377.2   459.3   688.9  1625.1  3434.3 178600.0   178750
read      197.6   120.7    63.8    96.6   104.6   170.9   218.8   247.6   268.0   290.5   316.8   357.1   466.7  1441.8  3236.0 105780.5   105831
read      197.0   117.4    63.8    96.4   104.5   170.1   217.1   246.1   267.1   290.3   317.4   359.0   468.1  1384.7  3160.8 110670.6   110667
read      179.2   143.3    74.4   110.5   122.5   165.9   182.4   191.7   198.6   207.5   218.6   240.6   609.2  2022.6  7020.3   8848.6     8803
read      237.8   174.1    63.8    96.5   107.7   214.5   266.3   293.3   312.1   333.9   362.2   406.8   789.2  2318.8  4425.3  45569.8    45662
read      222.6   151.4    63.8    97.7   109.4   205.0   245.1   266.7   281.9   299.4   322.1   365.0   734.9  2002.6  4012.8  30731.1    30867
read      237.7   156.4    68.9    96.9   108.1   215.7   268.5   296.0   315.1   337.2   365.2   409.1   764.2  2024.5  3815.0  45658.7    45656
read      281.8   296.0    68.9    99.8   110.5   208.6   277.0   321.1   355.4   397.6   462.3   651.1  1630.2  3233.8  7286.2 100841.5   100938
read      217.7   180.7    68.9    99.2   108.5   176.8   224.7   256.4   280.2   308.2   344.4   415.3   847.4  2410.0  3847.3 132461.9   132360
read      223.7   175.9    68.9    97.1   105.7   194.4   244.0   272.0   292.2   315.7   345.6   394.6   890.6  2213.0  3161.1  67603.2    67591
read      222.8   153.5    63.8    97.2   108.5   204.3   245.8   268.1   283.9   302.2   326.0   367.8   733.4  2081.6  4073.3  33906.8    33910
read      267.1   256.4    68.9    99.1   109.9   212.9   275.9   314.2   342.4   375.6   422.2   525.6  1359.5  2904.0  7284.2  85640.0    85729
read      189.6   143.7    68.9   106.0   120.4   175.9   196.3   207.7   215.9   226.6   240.1   266.6   650.4  1996.1  5045.2  12882.8    12884
read      239.1   172.6    63.8    97.1   108.4   215.6   267.5   294.9   314.0   336.3   364.7   409.9   792.3  2292.4  3964.6  45611.2    45621
read      223.3   151.1    63.8    97.5   108.7   209.0   251.6   273.9   289.7   307.6   329.9   366.4   544.2  2117.7  3368.3  36835.2    36938
read      237.5   158.6    63.8    95.8   106.4   215.0   271.1   300.6   320.4   343.2   371.1   414.9   661.1  2102.6  3443.7  56822.7    56902
read      262.4   259.4    63.8    98.3   108.5   202.1   266.2   304.8   334.2   371.0   426.2   555.2  1377.7  2944.5  7052.8 102044.0   102243
